"Statistic","CensusYear","Sex","Travelling Time","Time Leaving Home","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","100219"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","08:31 - 09:00","Students at school or college aged 19 years and over","Number","51183"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","09:01 - 09:30","All persons","Number","262469"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","09:01 - 09:30","Population aged 15 years and over at work","Number","109671"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","123177"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","7836"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","09:01 - 09:30","Students at school or college aged 19 years and over","Number","21785"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","After 09:30","All persons","Number","216043"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","After 09:30","Population aged 15 years and over at work","Number","184701"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","After 09:30","Children at school aged between 5 and 12 years","Number","825"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","After 09:30","Students at school or college aged between 13 and 18 years","Number","2661"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","After 09:30","Students at school or college aged 19 years and over","Number","27856"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","Not stated","All persons","Number","109922"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","Not stated","Population aged 15 years and over at work","Number","79193"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","Not stated","Children at school aged between 5 and 12 years","Number","16476"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","Not stated","Students at school or college aged between 13 and 18 years","Number","6436"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Total time travelling","Not stated","Students at school or college aged 19 years and over","Number","7817"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","All departure times","All persons","Number","921724"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","All departure times","Population aged 15 years and over at work","Number","427993"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","All departure times","Children at school aged between 5 and 12 years","Number","329793"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","All departure times","Students at school or college aged between 13 and 18 years","Number","120816"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","All departure times","Students at school or college aged 19 years and over","Number","43122"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","Before 06:30","All persons","Number","23889"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","Before 06:30","Population aged 15 years and over at work","Number","23592"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","Before 06:30","Children at school aged between 5 and 12 years","Number","89"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","Before 06:30","Students at school or college aged between 13 and 18 years","Number","61"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","Before 06:30","Students at school or college aged 19 years and over","Number","147"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","06:30 - 07:00","All persons","Number","28280"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","06:30 - 07:00","Population aged 15 years and over at work","Number","27797"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","143"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","68"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","06:30 - 07:00","Students at school or college aged 19 years and over","Number","272"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","07:01 - 07:30","All persons","Number","31736"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","07:01 - 07:30","Population aged 15 years and over at work","Number","29856"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","829"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","586"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","07:01 - 07:30","Students at school or college aged 19 years and over","Number","465"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","07:31 - 08:00","All persons","Number","77582"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","07:31 - 08:00","Population aged 15 years and over at work","Number","66447"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","4119"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","5777"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","07:31 - 08:00","Students at school or college aged 19 years and over","Number","1239"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","08:01 - 08:30","All persons","Number","144679"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","08:01 - 08:30","Population aged 15 years and over at work","Number","61201"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","39055"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","40063"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","08:01 - 08:30","Students at school or college aged 19 years and over","Number","4360"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","08:31 - 09:00","All persons","Number","362330"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","08:31 - 09:00","Population aged 15 years and over at work","Number","99847"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","174926"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","67588"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","08:31 - 09:00","Students at school or college aged 19 years and over","Number","19969"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","09:01 - 09:30","All persons","Number","166240"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","09:01 - 09:30","Population aged 15 years and over at work","Number","44475"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","108667"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","5218"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","09:01 - 09:30","Students at school or college aged 19 years and over","Number","7880"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","After 09:30","All persons","Number","81434"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","After 09:30","Population aged 15 years and over at work","Number","71226"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","After 09:30","Children at school aged between 5 and 12 years","Number","572"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","After 09:30","Students at school or college aged between 13 and 18 years","Number","1077"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","After 09:30","Students at school or college aged 19 years and over","Number","8559"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","Not stated","All persons","Number","5554"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","Not stated","Population aged 15 years and over at work","Number","3552"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","Not stated","Children at school aged between 5 and 12 years","Number","1393"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","Not stated","Students at school or college aged between 13 and 18 years","Number","378"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","< ¼ hour","Not stated","Students at school or college aged 19 years and over","Number","231"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","All departure times","All persons","Number","812773"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","All departure times","Population aged 15 years and over at work","Number","520128"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","All departure times","Children at school aged between 5 and 12 years","Number","116609"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","All departure times","Students at school or college aged between 13 and 18 years","Number","121522"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","All departure times","Students at school or college aged 19 years and over","Number","54514"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","Before 06:30","All persons","Number","32426"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","Before 06:30","Population aged 15 years and over at work","Number","32049"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","Before 06:30","Children at school aged between 5 and 12 years","Number","41"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","Before 06:30","Students at school or college aged between 13 and 18 years","Number","74"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","Before 06:30","Students at school or college aged 19 years and over","Number","262"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","06:30 - 07:00","All persons","Number","38526"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","06:30 - 07:00","Population aged 15 years and over at work","Number","37435"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","227"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","244"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","06:30 - 07:00","Students at school or college aged 19 years and over","Number","620"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","07:01 - 07:30","All persons","Number","61721"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","07:01 - 07:30","Population aged 15 years and over at work","Number","56884"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","977"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","2654"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","07:01 - 07:30","Students at school or college aged 19 years and over","Number","1206"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","07:31 - 08:00","All persons","Number","122429"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","07:31 - 08:00","Population aged 15 years and over at work","Number","87301"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","6298"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","24989"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","07:31 - 08:00","Students at school or college aged 19 years and over","Number","3841"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","08:01 - 08:30","All persons","Number","222582"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","08:01 - 08:30","Population aged 15 years and over at work","Number","106123"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","40284"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","63621"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","08:01 - 08:30","Students at school or college aged 19 years and over","Number","12554"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","08:31 - 09:00","All persons","Number","202571"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","08:31 - 09:00","Population aged 15 years and over at work","Number","99631"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","56807"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","27153"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","08:31 - 09:00","Students at school or college aged 19 years and over","Number","18980"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","09:01 - 09:30","All persons","Number","58058"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","09:01 - 09:30","Population aged 15 years and over at work","Number","37829"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","11298"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","1675"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","09:01 - 09:30","Students at school or college aged 19 years and over","Number","7256"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","After 09:30","All persons","Number","70078"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","After 09:30","Population aged 15 years and over at work","Number","59592"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","After 09:30","Children at school aged between 5 and 12 years","Number","157"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","After 09:30","Students at school or college aged between 13 and 18 years","Number","777"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","After 09:30","Students at school or college aged 19 years and over","Number","9552"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","Not stated","All persons","Number","4382"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","Not stated","Population aged 15 years and over at work","Number","3284"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","Not stated","Children at school aged between 5 and 12 years","Number","520"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","Not stated","Students at school or college aged between 13 and 18 years","Number","335"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","¼ hour - < ½ hour","Not stated","Students at school or college aged 19 years and over","Number","243"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","All departure times","All persons","Number","463182"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","All departure times","Population aged 15 years and over at work","Number","352362"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","All departure times","Children at school aged between 5 and 12 years","Number","23176"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","All departure times","Students at school or college aged between 13 and 18 years","Number","48459"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","All departure times","Students at school or college aged 19 years and over","Number","39185"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","Before 06:30","All persons","Number","24353"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","Before 06:30","Population aged 15 years and over at work","Number","24013"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","Before 06:30","Children at school aged between 5 and 12 years","Number","24"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","Before 06:30","Students at school or college aged between 13 and 18 years","Number","49"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","Before 06:30","Students at school or college aged 19 years and over","Number","267"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","06:30 - 07:00","All persons","Number","35557"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","06:30 - 07:00","Population aged 15 years and over at work","Number","34077"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","189"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","462"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","06:30 - 07:00","Students at school or college aged 19 years and over","Number","829"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","07:01 - 07:30","All persons","Number","63866"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","07:01 - 07:30","Population aged 15 years and over at work","Number","56605"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","898"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","4092"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","07:01 - 07:30","Students at school or college aged 19 years and over","Number","2271"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","07:31 - 08:00","All persons","Number","99913"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","07:31 - 08:00","Population aged 15 years and over at work","Number","67514"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","4228"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","21268"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","07:31 - 08:00","Students at school or college aged 19 years and over","Number","6903"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","08:01 - 08:30","All persons","Number","124274"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","08:01 - 08:30","Population aged 15 years and over at work","Number","82096"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","10849"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","18744"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","08:01 - 08:30","Students at school or college aged 19 years and over","Number","12585"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","08:31 - 09:00","All persons","Number","56165"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","08:31 - 09:00","Population aged 15 years and over at work","Number","39837"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","6224"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","2908"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","08:31 - 09:00","Students at school or college aged 19 years and over","Number","7196"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","09:01 - 09:30","All persons","Number","21600"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","09:01 - 09:30","Population aged 15 years and over at work","Number","16772"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","638"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","426"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","09:01 - 09:30","Students at school or college aged 19 years and over","Number","3764"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","After 09:30","All persons","Number","34966"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","After 09:30","Population aged 15 years and over at work","Number","29379"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","After 09:30","Children at school aged between 5 and 12 years","Number","36"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","½ hour - < ¾ hour","After 09:30","Students at school or college aged between 13 and 18 years","Number","378"
