"Statistic","CensusYear","Towns with a Population of over 1,500","UNIT","VALUE"
"Total residents with a fixed place of work (A)","2016","Sallins","Number","2377"
"Total residents with a fixed place of work (A)","2016","Loughrea","Number","1816"
"Total residents with a fixed place of work (A)","2016","Blessington","Number","2029"
"Total residents with a fixed place of work (A)","2016","Ardee","Number","1449"
"Total residents with a fixed place of work (A)","2016","Carrickmacross","Number","1699"
"Total residents with a fixed place of work (A)","2016","Kinsale","Number","1713"
"Total residents with a fixed place of work (A)","2016","Ballybofey-Stranorlar","Number","1275"
"Total residents with a fixed place of work (A)","2016","Listowel","Number","1294"
"Total residents with a fixed place of work (A)","2016","Oranmore","Number","2292"
"Total residents with a fixed place of work (A)","2016","Mountmellick","Number","1218"
"Total residents with a fixed place of work (A)","2016","Clonakilty","Number","1551"
"Total residents with a fixed place of work (A)","2016","Carrigtwohill","Number","1992"
"Total residents with a fixed place of work (A)","2016","Cashel","Number","1398"
"Total residents with a fixed place of work (A)","2016","Kilcoole","Number","1559"
"Total residents with a fixed place of work (A)","2016","Duleek","Number","1258"
"Total residents with a fixed place of work (A)","2016","Carrick-on-Shannon","Number","1361"
"Total residents with a fixed place of work (A)","2016","Tullow","Number","1404"
"Total residents with a fixed place of work (A)","2016","Athenry","Number","1611"
"Total residents with a fixed place of work (A)","2016","Dunshaughlin","Number","1536"
"Total residents with a fixed place of work (A)","2016","Macroom","Number","1264"
"Total residents with a fixed place of work (A)","2016","Monasterevin","Number","1242"
"Total residents with a fixed place of work (A)","2016","Mitchelstown","Number","1127"
"Total residents with a fixed place of work (A)","2016","Rathluirc (or Charleville)","Number","1171"
"Total residents with a fixed place of work (A)","2016","Castleblayney","Number","1020"
"Total residents with a fixed place of work (A)","2016","Cahir","Number","1152"
"Total residents with a fixed place of work (A)","2016","Kilcullen","Number","1301"
"Total residents with a fixed place of work (A)","2016","Rathcoole","Number","1722"
"Total residents with a fixed place of work (A)","2016","Claremorris","Number","1320"
"Total residents with a fixed place of work (A)","2016","Bantry","Number","790"
"Total residents with a fixed place of work (A)","2016","Tower","Number","1200"
"Total residents with a fixed place of work (A)","2016","Clara","Number","914"
"Total residents with a fixed place of work (A)","2016","Stamullen","Number","1263"
"Total residents with a fixed place of work (A)","2016","Kill","Number","1325"
"Total residents with a fixed place of work (A)","2016","Rathnew","Number","977"
"Total residents with a fixed place of work (A)","2016","Muinebeag","Number","833"
"Total residents with a fixed place of work (A)","2016","Enfield","Number","1176"
"Total residents with a fixed place of work (A)","2016","Courtown Harbour","Number","866"
"Total residents with a fixed place of work (A)","2016","Annacotty","Number","1203"
"Total residents with a fixed place of work (A)","2016","Moate","Number","917"
"Total residents with a fixed place of work (A)","2016","Ballinrobe","Number","944"
"Total residents with a fixed place of work (A)","2016","Kilrush","Number","620"
"Total residents with a fixed place of work (A)","2016","Skibbereen","Number","804"
"Total residents with a fixed place of work (A)","2016","Kinnegad","Number","813"
"Total residents with a fixed place of work (A)","2016","Newcastle","Number","1162"
"Total residents with a fixed place of work (A)","2016","Gort","Number","874"
"Total residents with a fixed place of work (A)","2016","Donegal","Number","803"
"Total residents with a fixed place of work (A)","2016","Boyle","Number","675"
"Total residents with a fixed place of work (A)","2016","Ballyjamesduff","Number","774"
"Total residents with a fixed place of work (A)","2016","Carndonagh","Number","580"
"Total residents with a fixed place of work (A)","2016","Bailieborough","Number","712"
"Total residents with a fixed place of work (A)","2016","Castleisland","Number","777"
"Total residents with a fixed place of work (A)","2016","Sixmilebridge","Number","974"
"Total residents with a fixed place of work (A)","2016","Ballyshannon","Number","582"
"Total residents with a fixed place of work (A)","2016","Ballina (North Tipperary)","Number","944"
"Total residents with a fixed place of work (A)","2016","Blarney","Number","876"
"Total residents with a fixed place of work (A)","2016","Newtownmountkennedy","Number","940"
"Total residents with a fixed place of work (A)","2016","Athboy","Number","764"
"Total residents with a fixed place of work (A)","2016","Rathangan","Number","870"
"Total residents with a fixed place of work (A)","2016","Callan","Number","808"
"Total residents with a fixed place of work (A)","2016","Kingscourt","Number","809"
"Total residents with a fixed place of work (A)","2016","Ballyhaunis","Number","679"
"Total residents with a fixed place of work (A)","2016","Virginia","Number","821"
"Total residents with a fixed place of work (A)","2016","Thomastown","Number","791"
"Total residents with a fixed place of work (A)","2016","Kanturk","Number","790"
"Total residents with a fixed place of work (A)","2016","Prosperous","Number","716"
"Total residents with a fixed place of work (A)","2016","Kenmare","Number","707"
"Total residents with a fixed place of work (A)","2016","Saggart","Number","1300"
"Total residents with a fixed place of work (A)","2016","Bundoran","Number","529"
"Total residents with a fixed place of work (A)","2016","Cootehill","Number","600"
"Total residents with a fixed place of work (A)","2016","Crosshaven","Number","865"
"Total residents with a fixed place of work (A)","2016","Killorglin","Number","728"
"Total residents with a fixed place of work (A)","2016","Templemore","Number","530"
"Total residents with a fixed place of work (A)","2016","Baltinglass","Number","593"
"Total residents with a fixed place of work (A)","2016","Clifden","Number","476"
"Total residents with a fixed place of work (A)","2016","Bunclody-Carrickduff","Number","493"
"Total residents with a fixed place of work (A)","2016","Abbeyfeale","Number","518"
"Total residents with a fixed place of work (A)","2016","Clogherhead","Number","668"
"Total residents with a fixed place of work (A)","2016","Castlerea","Number","523"
"Total residents with a fixed place of work (A)","2016","An Daingean","Number","662"
"Total residents with a fixed place of work (A)","2016","Castleconnell","Number","704"
"Total residents with a fixed place of work (A)","2016","Bearna","Number","756"
"Total residents with a fixed place of work (A)","2016","Balrothery","Number","717"
"Total residents with a fixed place of work (A)","2016","Abbeyleix","Number","502"
"Total residents with a fixed place of work (A)","2016","Ballaghaderreen","Number","580"
"Total residents with a fixed place of work (A)","2016","Enniskerry","Number","592"
"Total residents with a fixed place of work (A)","2016","Newport","Number","658"
"Total residents with a fixed place of work (A)","2016","Dunleer","Number","611"
"Total residents with a fixed place of work (A)","2016","Newmarket-on-Fergus","Number","675"
"Total residents with a fixed place of work (A)","2016","Clones","Number","428"
"Total residents with a fixed place of work (A)","2016","Tubbercurry","Number","560"
"Total residents with a fixed place of work (A)","2016","Edgeworthstown","Number","479"
"Total residents with a fixed place of work (A)","2016","Ballivor","Number","505"
"Total residents with a fixed place of work (A)","2016","Castlebridge","Number","625"
"Total residents with a fixed place of work (A)","2016","Portlaw","Number","496"
"Total residents with a fixed place of work (A)","2016","Mountrath","Number","413"
"Total residents with a fixed place of work (A)","2016","Lifford","Number","338"
"Total residents with a fixed place of work (A)","2016","Banagher","Number","533"
"Total residents with a fixed place of work (A)","2016","Kilmallock","Number","418"
"Total residents with a fixed place of work (A)","2016","Strandhill","Number","671"
"Total residents with a fixed place of work (A)","2016","Rathdrum","Number","444"
"Total residents with a fixed place of work (A)","2016","Dunmanway","Number","478"
"Total residents with a fixed place of work (A)","2016","Millstreet","Number","563"
"Total residents with a fixed place of work (A)","2016","Ballymahon","Number","544"
"Total residents with a fixed place of work (A)","2016","Cloyne","Number","601"
"Total residents with a fixed place of work (A)","2016","Dunmore East","Number","408"
"Total residents with a fixed place of work (A)","2016","Moycullen","Number","642"
"Total residents with a fixed place of work (A)","2016","Rosslare","Number","401"
"Total residents with a fixed place of work (A)","2016","Derrinturn","Number","475"
"Total residents with a fixed place of work (A)","2016","Fethard","Number","431"
"Total residents with a fixed place of work (A)","2016","Ballymote","Number","433"
"Total residents with a fixed place of work (A)","2016","Rathcormac","Number","668"
"Total residents with a fixed place of work (A)","2016","Collooney","Number","547"
"Total residents with a fixed place of work (A)","2016","Castlemartyr","Number","539"
"Total residents with a fixed place of work (A)","2016","Tullyallen","Number","560"
"Total residents with a fixed place of work (A)","2016","Longwood","Number","543"
"Total residents with a fixed place of work (A)","2016","Termonfeckin","Number","518"
"Total residents with a fixed place of work (A)","2016","Convoy","Number","368"
"Total residents with a fixed place of work (A)","2016","Castlecomer-Donaguile","Number","409"
"Persons working in the town of usual residence (B)","2016","Dublin City and suburbs","Number","382002"
"Persons working in the town of usual residence (B)","2016","Cork City and suburbs","Number","60706"
"Persons working in the town of usual residence (B)","2016","Limerick City and suburbs","Number","21908"
"Persons working in the town of usual residence (B)","2016","Galway City and suburbs","Number","22271"
"Persons working in the town of usual residence (B)","2016","Waterford City and suburbs","Number","13101"
"Persons working in the town of usual residence (B)","2016","Towns 1,500 population and over","Number","668510"
"Persons working in the town of usual residence (B)","2016","Drogheda","Number","6217"
"Persons working in the town of usual residence (B)","2016","Dundalk","Number","8087"
"Persons working in the town of usual residence (B)","2016","Swords","Number","4128"
"Persons working in the town of usual residence (B)","2016","Bray","Number","3689"
"Persons working in the town of usual residence (B)","2016","Navan (An Uaimh)","Number","3896"
"Persons working in the town of usual residence (B)","2016","Ennis","Number","4696"
"Persons working in the town of usual residence (B)","2016","Kilkenny","Number","5910"
"Persons working in the town of usual residence (B)","2016","Tralee","Number","5067"
"Persons working in the town of usual residence (B)","2016","Carlow","Number","3472"
"Persons working in the town of usual residence (B)","2016","Droichead Nua","Number","2496"
"Persons working in the town of usual residence (B)","2016","Naas","Number","2884"
"Persons working in the town of usual residence (B)","2016","Athlone","Number","4930"
"Persons working in the town of usual residence (B)","2016","Portlaoise","Number","3182"
"Persons working in the town of usual residence (B)","2016","Mullingar","Number","3584"
"Persons working in the town of usual residence (B)","2016","Wexford","Number","4691"
"Persons working in the town of usual residence (B)","2016","Balbriggan","Number","1398"
"Persons working in the town of usual residence (B)","2016","Letterkenny","Number","4718"
"Persons working in the town of usual residence (B)","2016","Celbridge","Number","1082"
"Persons working in the town of usual residence (B)","2016","Sligo","Number","4392"
"Persons working in the town of usual residence (B)","2016","Clonmel","Number","3020"
"Persons working in the town of usual residence (B)","2016","Greystones","Number","1284"
"Persons working in the town of usual residence (B)","2016","Malahide","Number","934"
"Persons working in the town of usual residence (B)","2016","Leixlip","Number","983"
"Persons working in the town of usual residence (B)","2016","Carrigaline","Number","929"
"Persons working in the town of usual residence (B)","2016","Tullamore","Number","2656"
"Persons working in the town of usual residence (B)","2016","Killarney","Number","2793"
"Persons working in the town of usual residence (B)","2016","Arklow","Number","1647"
"Persons working in the town of usual residence (B)","2016","Maynooth","Number","1201"
"Persons working in the town of usual residence (B)","2016","Cobh","Number","978"
"Persons working in the town of usual residence (B)","2016","Castlebar","Number","2628"
"Persons working in the town of usual residence (B)","2016","Midleton","Number","1324"
"Persons working in the town of usual residence (B)","2016","Mallow","Number","1461"
"Persons working in the town of usual residence (B)","2016","Ashbourne","Number","794"
"Persons working in the town of usual residence (B)","2016","Ballina","Number","1788"
"Persons working in the town of usual residence (B)","2016","Laytown-Bettystown-Mornington","Number","445"
"Persons working in the town of usual residence (B)","2016","Enniscorthy","Number","1450"
"Persons working in the town of usual residence (B)","2016","Wicklow","Number","1189"
"Persons working in the town of usual residence (B)","2016","Tramore","Number","972"
"Persons working in the town of usual residence (B)","2016","Cavan","Number","1628"
"Persons working in the town of usual residence (B)","2016","Athy","Number","905"
"Persons working in the town of usual residence (B)","2016","Shannon","Number","1351"
"Persons working in the town of usual residence (B)","2016","Skerries","Number","690"
"Persons working in the town of usual residence (B)","2016","Longford","Number","1398"
"Persons working in the town of usual residence (B)","2016","Dungarvan","Number","1386"
"Persons working in the town of usual residence (B)","2016","Portmarnock","Number","393"
"Persons working in the town of usual residence (B)","2016","Rush","Number","643"
"Persons working in the town of usual residence (B)","2016","Gorey","Number","1373"
"Persons working in the town of usual residence (B)","2016","Ratoath","Number","392"
"Persons working in the town of usual residence (B)","2016","Nenagh","Number","1496"
"Persons working in the town of usual residence (B)","2016","Trim","Number","920"
"Persons working in the town of usual residence (B)","2016","Tuam","Number","1233"
"Persons working in the town of usual residence (B)","2016","New Ross","Number","1220"
"Persons working in the town of usual residence (B)","2016","Kildare","Number","702"
"Persons working in the town of usual residence (B)","2016","Thurles","Number","1191"
"Persons working in the town of usual residence (B)","2016","Youghal","Number","1060"
"Persons working in the town of usual residence (B)","2016","Portarlington","Number","578"
"Persons working in the town of usual residence (B)","2016","Monaghan","Number","1162"
"Persons working in the town of usual residence (B)","2016","Lusk","Number","264"
"Persons working in the town of usual residence (B)","2016","Edenderry","Number","875"
"Persons working in the town of usual residence (B)","2016","Dunboyne","Number","381"
"Persons working in the town of usual residence (B)","2016","Buncrana","Number","1027"
"Persons working in the town of usual residence (B)","2016","Donabate","Number","310"
"Persons working in the town of usual residence (B)","2016","Clane","Number","391"
"Persons working in the town of usual residence (B)","2016","Ballinasloe","Number","980"
"Persons working in the town of usual residence (B)","2016","Bandon","Number","848"
"Persons working in the town of usual residence (B)","2016","Fermoy","Number","682"
"Persons working in the town of usual residence (B)","2016","Newcastle West","Number","750"
"Persons working in the town of usual residence (B)","2016","Westport","Number","1454"
"Persons working in the town of usual residence (B)","2016","Carrick-on-Suir","Number","543"
"Persons working in the town of usual residence (B)","2016","Kells (Ceanannas)","Number","459"
"Persons working in the town of usual residence (B)","2016","Birr","Number","554"
"Persons working in the town of usual residence (B)","2016","Kinsealy-Drinan","Number","149"
"Persons working in the town of usual residence (B)","2016","Passage West","Number","249"
"Persons working in the town of usual residence (B)","2016","Roscommon","Number","1063"
"Persons working in the town of usual residence (B)","2016","Kilcock","Number","282"
"Persons working in the town of usual residence (B)","2016","Roscrea","Number","682"
"Persons working in the town of usual residence (B)","2016","Tipperary","Number","684"
"Persons working in the town of usual residence (B)","2016","Sallins","Number","142"
"Persons working in the town of usual residence (B)","2016","Loughrea","Number","726"
"Persons working in the town of usual residence (B)","2016","Blessington","Number","462"
"Persons working in the town of usual residence (B)","2016","Ardee","Number","510"
"Persons working in the town of usual residence (B)","2016","Carrickmacross","Number","750"
"Persons working in the town of usual residence (B)","2016","Kinsale","Number","777"
"Persons working in the town of usual residence (B)","2016","Ballybofey-Stranorlar","Number","625"
"Persons working in the town of usual residence (B)","2016","Listowel","Number","700"
"Persons working in the town of usual residence (B)","2016","Oranmore","Number","285"
"Persons working in the town of usual residence (B)","2016","Mountmellick","Number","345"
"Persons working in the town of usual residence (B)","2016","Clonakilty","Number","801"
"Persons working in the town of usual residence (B)","2016","Carrigtwohill","Number","174"
"Persons working in the town of usual residence (B)","2016","Cashel","Number","619"
"Persons working in the town of usual residence (B)","2016","Kilcoole","Number","233"
"Persons working in the town of usual residence (B)","2016","Duleek","Number","157"
"Persons working in the town of usual residence (B)","2016","Carrick-on-Shannon","Number","817"
"Persons working in the town of usual residence (B)","2016","Tullow","Number","472"
"Persons working in the town of usual residence (B)","2016","Athenry","Number","378"
"Persons working in the town of usual residence (B)","2016","Dunshaughlin","Number","240"
"Persons working in the town of usual residence (B)","2016","Macroom","Number","496"
"Persons working in the town of usual residence (B)","2016","Monasterevin","Number","262"
"Persons working in the town of usual residence (B)","2016","Mitchelstown","Number","474"
"Persons working in the town of usual residence (B)","2016","Rathluirc (or Charleville)","Number","526"
"Persons working in the town of usual residence (B)","2016","Castleblayney","Number","371"
"Persons working in the town of usual residence (B)","2016","Cahir","Number","333"
"Persons working in the town of usual residence (B)","2016","Kilcullen","Number","198"
"Persons working in the town of usual residence (B)","2016","Rathcoole","Number","219"
"Persons working in the town of usual residence (B)","2016","Claremorris","Number","450"
"Persons working in the town of usual residence (B)","2016","Bantry","Number","509"
"Persons working in the town of usual residence (B)","2016","Tower","Number","99"
"Persons working in the town of usual residence (B)","2016","Clara","Number","237"
"Persons working in the town of usual residence (B)","2016","Stamullen","Number","108"
"Persons working in the town of usual residence (B)","2016","Kill","Number","97"
"Persons working in the town of usual residence (B)","2016","Rathnew","Number","117"
"Persons working in the town of usual residence (B)","2016","Muinebeag","Number","392"
"Persons working in the town of usual residence (B)","2016","Enfield","Number","138"
"Persons working in the town of usual residence (B)","2016","Courtown Harbour","Number","139"
"Persons working in the town of usual residence (B)","2016","Annacotty","Number","125"
"Persons working in the town of usual residence (B)","2016","Moate","Number","192"
"Persons working in the town of usual residence (B)","2016","Ballinrobe","Number","345"
"Persons working in the town of usual residence (B)","2016","Kilrush","Number","375"
"Persons working in the town of usual residence (B)","2016","Skibbereen","Number","476"
"Persons working in the town of usual residence (B)","2016","Kinnegad","Number","122"
"Persons working in the town of usual residence (B)","2016","Newcastle","Number","101"
"Persons working in the town of usual residence (B)","2016","Gort","Number","362"
"Persons working in the town of usual residence (B)","2016","Donegal","Number","423"
"Persons working in the town of usual residence (B)","2016","Boyle","Number","340"
"Persons working in the town of usual residence (B)","2016","Ballyjamesduff","Number","137"
"Persons working in the town of usual residence (B)","2016","Carndonagh","Number","304"
"Persons working in the town of usual residence (B)","2016","Bailieborough","Number","226"
"Persons working in the town of usual residence (B)","2016","Castleisland","Number","380"
"Persons working in the town of usual residence (B)","2016","Sixmilebridge","Number","90"
"Persons working in the town of usual residence (B)","2016","Ballyshannon","Number","278"
"Persons working in the town of usual residence (B)","2016","Ballina (North Tipperary)","Number","172"
"Persons working in the town of usual residence (B)","2016","Blarney","Number","152"
"Persons working in the town of usual residence (B)","2016","Newtownmountkennedy","Number","159"
"Persons working in the town of usual residence (B)","2016","Athboy","Number","151"
"Persons working in the town of usual residence (B)","2016","Rathangan","Number","166"
"Persons working in the town of usual residence (B)","2016","Callan","Number","279"
"Persons working in the town of usual residence (B)","2016","Kingscourt","Number","215"
"Persons working in the town of usual residence (B)","2016","Ballyhaunis","Number","381"
"Persons working in the town of usual residence (B)","2016","Virginia","Number","198"
"Persons working in the town of usual residence (B)","2016","Thomastown","Number","221"
"Persons working in the town of usual residence (B)","2016","Kanturk","Number","256"
"Persons working in the town of usual residence (B)","2016","Prosperous","Number","97"
"Persons working in the town of usual residence (B)","2016","Kenmare","Number","433"
"Persons working in the town of usual residence (B)","2016","Saggart","Number","77"
"Persons working in the town of usual residence (B)","2016","Bundoran","Number","253"
"Persons working in the town of usual residence (B)","2016","Cootehill","Number","226"
"Persons working in the town of usual residence (B)","2016","Crosshaven","Number","150"
"Persons working in the town of usual residence (B)","2016","Killorglin","Number","397"
"Persons working in the town of usual residence (B)","2016","Templemore","Number","273"
"Persons working in the town of usual residence (B)","2016","Baltinglass","Number","182"
"Persons working in the town of usual residence (B)","2016","Clifden","Number","379"
"Persons working in the town of usual residence (B)","2016","Bunclody-Carrickduff","Number","170"
"Persons working in the town of usual residence (B)","2016","Abbeyfeale","Number","263"
"Persons working in the town of usual residence (B)","2016","Clogherhead","Number","79"
"Persons working in the town of usual residence (B)","2016","Castlerea","Number","249"
"Persons working in the town of usual residence (B)","2016","An Daingean","Number","538"
"Persons working in the town of usual residence (B)","2016","Castleconnell","Number","92"
"Persons working in the town of usual residence (B)","2016","Bearna","Number","114"
"Persons working in the town of usual residence (B)","2016","Balrothery","Number","43"
"Persons working in the town of usual residence (B)","2016","Abbeyleix","Number","135"
"Persons working in the town of usual residence (B)","2016","Ballaghaderreen","Number","141"
"Persons working in the town of usual residence (B)","2016","Enniskerry","Number","93"
"Persons working in the town of usual residence (B)","2016","Newport","Number","90"
"Persons working in the town of usual residence (B)","2016","Dunleer","Number","153"
"Persons working in the town of usual residence (B)","2016","Newmarket-on-Fergus","Number","90"
"Persons working in the town of usual residence (B)","2016","Clones","Number","154"
"Persons working in the town of usual residence (B)","2016","Tubbercurry","Number","197"
"Persons working in the town of usual residence (B)","2016","Edgeworthstown","Number","178"
"Persons working in the town of usual residence (B)","2016","Ballivor","Number","77"
"Persons working in the town of usual residence (B)","2016","Castlebridge","Number","59"
"Persons working in the town of usual residence (B)","2016","Portlaw","Number","59"
"Persons working in the town of usual residence (B)","2016","Mountrath","Number","104"
"Persons working in the town of usual residence (B)","2016","Lifford","Number","107"
"Persons working in the town of usual residence (B)","2016","Banagher","Number","217"
"Persons working in the town of usual residence (B)","2016","Kilmallock","Number","176"
"Persons working in the town of usual residence (B)","2016","Strandhill","Number","102"
"Persons working in the town of usual residence (B)","2016","Rathdrum","Number","143"
"Persons working in the town of usual residence (B)","2016","Dunmanway","Number","210"
"Persons working in the town of usual residence (B)","2016","Millstreet","Number","178"
"Persons working in the town of usual residence (B)","2016","Ballymahon","Number","128"
"Persons working in the town of usual residence (B)","2016","Cloyne","Number","54"
"Persons working in the town of usual residence (B)","2016","Dunmore East","Number","199"
"Persons working in the town of usual residence (B)","2016","Moycullen","Number","135"
"Persons working in the town of usual residence (B)","2016","Rosslare","Number","146"
"Persons working in the town of usual residence (B)","2016","Derrinturn","Number","71"
"Persons working in the town of usual residence (B)","2016","Fethard","Number","114"
"Persons working in the town of usual residence (B)","2016","Ballymote","Number","128"
"Persons working in the town of usual residence (B)","2016","Rathcormac","Number","45"
"Persons working in the town of usual residence (B)","2016","Collooney","Number","105"
"Persons working in the town of usual residence (B)","2016","Castlemartyr","Number","55"
"Persons working in the town of usual residence (B)","2016","Tullyallen","Number","41"
"Persons working in the town of usual residence (B)","2016","Longwood","Number","34"
"Persons working in the town of usual residence (B)","2016","Termonfeckin","Number","66"
"Persons working in the town of usual residence (B)","2016","Convoy","Number","68"
"Persons working in the town of usual residence (B)","2016","Castlecomer-Donaguile","Number","108"
"Persons working outside the town of usual residence (C)","2016","Dublin City and suburbs","Number","40352"
"Persons working outside the town of usual residence (C)","2016","Cork City and suburbs","Number","12041"
"Persons working outside the town of usual residence (C)","2016","Limerick City and suburbs","Number","6635"
"Persons working outside the town of usual residence (C)","2016","Galway City and suburbs","Number","5565"
"Persons working outside the town of usual residence (C)","2016","Waterford City and suburbs","Number","3509"
"Persons working outside the town of usual residence (C)","2016","Towns 1,500 population and over","Number","349628"
"Persons working outside the town of usual residence (C)","2016","Drogheda","Number","6845"
"Persons working outside the town of usual residence (C)","2016","Dundalk","Number","3507"
"Persons working outside the town of usual residence (C)","2016","Swords","Number","11902"
"Persons working outside the town of usual residence (C)","2016","Bray","Number","7729"
"Persons working outside the town of usual residence (C)","2016","Navan (An Uaimh)","Number","5927"
"Persons working outside the town of usual residence (C)","2016","Ennis","Number","3776"
"Persons working outside the town of usual residence (C)","2016","Kilkenny","Number","3149"
"Persons working outside the town of usual residence (C)","2016","Tralee","Number","1558"
"Persons working outside the town of usual residence (C)","2016","Carlow","Number","3293"
"Persons working outside the town of usual residence (C)","2016","Droichead Nua","Number","5367"
"Persons working outside the town of usual residence (C)","2016","Naas","Number","5632"
"Persons working outside the town of usual residence (C)","2016","Athlone","Number","1679"
