"Statistic","CensusYear","Sex","Means of Travel","Aggregate Town or Rural Area","Time Leaving Home","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","Before 06:30","Students at school or college aged between 13 and 18 years","Number","46"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","Before 06:30","Students at school or college aged 19 years and over","Number","209"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","06:30 - 07:00","All persons","Number","9350"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","06:30 - 07:00","Population aged 15 years and over at work","Number","8905"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","74"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","56"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","06:30 - 07:00","Students at school or college aged 19 years and over","Number","315"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","07:01 - 07:30","All persons","Number","11750"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","07:01 - 07:30","Population aged 15 years and over at work","Number","10477"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","314"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","443"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","07:01 - 07:30","Students at school or college aged 19 years and over","Number","516"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","07:31 - 08:00","All persons","Number","24638"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","07:31 - 08:00","Population aged 15 years and over at work","Number","17296"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","1776"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","4226"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","07:31 - 08:00","Students at school or college aged 19 years and over","Number","1340"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","08:01 - 08:30","All persons","Number","74908"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","08:01 - 08:30","Population aged 15 years and over at work","Number","22158"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","20611"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","27109"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","08:01 - 08:30","Students at school or college aged 19 years and over","Number","5030"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","08:31 - 09:00","All persons","Number","141846"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","08:31 - 09:00","Population aged 15 years and over at work","Number","30886"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","64954"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","31270"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","08:31 - 09:00","Students at school or college aged 19 years and over","Number","14736"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","09:01 - 09:30","All persons","Number","32162"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","09:01 - 09:30","Population aged 15 years and over at work","Number","13637"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","10412"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","1752"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","09:01 - 09:30","Students at school or college aged 19 years and over","Number","6361"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","After 09:30","All persons","Number","41595"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","After 09:30","Population aged 15 years and over at work","Number","32417"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","After 09:30","Children at school aged between 5 and 12 years","Number","177"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","After 09:30","Students at school or college aged between 13 and 18 years","Number","719"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","After 09:30","Students at school or college aged 19 years and over","Number","8282"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","Not stated","All persons","Number","3577"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","Not stated","Population aged 15 years and over at work","Number","2053"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","Not stated","Children at school aged between 5 and 12 years","Number","803"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","Not stated","Students at school or college aged between 13 and 18 years","Number","382"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Town Area","Not stated","Students at school or college aged 19 years and over","Number","339"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","All departure times","All persons","Number","68254"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","All departure times","Population aged 15 years and over at work","Number","26127"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","All departure times","Children at school aged between 5 and 12 years","Number","19353"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","All departure times","Students at school or college aged between 13 and 18 years","Number","7943"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","All departure times","Students at school or college aged 19 years and over","Number","14831"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","Before 06:30","All persons","Number","1499"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","Before 06:30","Population aged 15 years and over at work","Number","1448"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","Before 06:30","Children at school aged between 5 and 12 years","Number","7"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","Before 06:30","Students at school or college aged between 13 and 18 years","Number","14"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","Before 06:30","Students at school or college aged 19 years and over","Number","30"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","06:30 - 07:00","All persons","Number","2665"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","06:30 - 07:00","Population aged 15 years and over at work","Number","2578"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","13"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","06:30 - 07:00","Students at school or college aged 19 years and over","Number","69"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","07:01 - 07:30","All persons","Number","3084"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","07:01 - 07:30","Population aged 15 years and over at work","Number","2777"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","25"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","143"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","07:01 - 07:30","Students at school or college aged 19 years and over","Number","139"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","07:31 - 08:00","All persons","Number","4801"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","07:31 - 08:00","Population aged 15 years and over at work","Number","4012"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","126"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","370"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","07:31 - 08:00","Students at school or college aged 19 years and over","Number","293"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","08:01 - 08:30","All persons","Number","6440"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","08:01 - 08:30","Population aged 15 years and over at work","Number","3365"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","533"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","1069"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","08:01 - 08:30","Students at school or college aged 19 years and over","Number","1473"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","08:31 - 09:00","All persons","Number","23428"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","08:31 - 09:00","Population aged 15 years and over at work","Number","4366"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","6765"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","4806"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","08:31 - 09:00","Students at school or college aged 19 years and over","Number","7491"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","09:01 - 09:30","All persons","Number","17831"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","09:01 - 09:30","Population aged 15 years and over at work","Number","2762"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","11694"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","970"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","09:01 - 09:30","Students at school or college aged 19 years and over","Number","2405"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","After 09:30","All persons","Number","7510"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","After 09:30","Population aged 15 years and over at work","Number","4165"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","After 09:30","Children at school aged between 5 and 12 years","Number","53"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","After 09:30","Students at school or college aged between 13 and 18 years","Number","488"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","After 09:30","Students at school or college aged 19 years and over","Number","2804"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","Not stated","All persons","Number","996"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","Not stated","Population aged 15 years and over at work","Number","654"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","Not stated","Children at school aged between 5 and 12 years","Number","145"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","Not stated","Students at school or college aged between 13 and 18 years","Number","70"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","On foot","Aggregate Rural Area","Not stated","Students at school or college aged 19 years and over","Number","127"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","All departure times","All persons","Number","61177"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","All departure times","Population aged 15 years and over at work","Number","39803"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","All departure times","Children at school aged between 5 and 12 years","Number","6252"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","All departure times","Students at school or college aged between 13 and 18 years","Number","6592"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","All departure times","Students at school or college aged 19 years and over","Number","8530"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","Before 06:30","All persons","Number","2938"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","Before 06:30","Population aged 15 years and over at work","Number","2861"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","Before 06:30","Children at school aged between 5 and 12 years","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","Before 06:30","Students at school or college aged between 13 and 18 years","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","Before 06:30","Students at school or college aged 19 years and over","Number","64"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","06:30 - 07:00","All persons","Number","3273"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","06:30 - 07:00","Population aged 15 years and over at work","Number","3125"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","7"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","11"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","06:30 - 07:00","Students at school or college aged 19 years and over","Number","130"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","07:01 - 07:30","All persons","Number","4312"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","07:01 - 07:30","Population aged 15 years and over at work","Number","3966"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","32"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","114"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","07:01 - 07:30","Students at school or college aged 19 years and over","Number","200"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","07:31 - 08:00","All persons","Number","8009"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","07:31 - 08:00","Population aged 15 years and over at work","Number","6558"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","183"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","735"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","07:31 - 08:00","Students at school or college aged 19 years and over","Number","533"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","08:01 - 08:30","All persons","Number","14305"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","08:01 - 08:30","Population aged 15 years and over at work","Number","7834"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","1764"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","3221"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","08:01 - 08:30","Students at school or college aged 19 years and over","Number","1486"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","08:31 - 09:00","All persons","Number","15512"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","08:31 - 09:00","Population aged 15 years and over at work","Number","7151"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","3259"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","2250"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","08:31 - 09:00","Students at school or college aged 19 years and over","Number","2852"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","09:01 - 09:30","All persons","Number","5305"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","09:01 - 09:30","Population aged 15 years and over at work","Number","2950"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","960"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","130"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","09:01 - 09:30","Students at school or college aged 19 years and over","Number","1265"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","After 09:30","All persons","Number","6932"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","State","After 09:30","Population aged 15 years and over at work","Number","4900"
