year,sex,means_of_travel,town_size,age,edu_level,value
2011,Male,bus,"Towns 10,000 population and over",>=19,university,2932
2011,Male,bus,"Towns 5,000 - 9,999 population",>=15,junior-cert,1424
2011,Male,bus,"Towns 5,000 - 9,999 population",5 to 12,primary-school,1413
2011,Male,bus,"Towns 5,000 - 9,999 population",13 to 18,leaving-cert,1292
2011,Male,bus,"Towns 5,000 - 9,999 population",>=19,university,966
2011,Male,bus,"Towns 2,000 - 4,999 population",>=15,junior-cert,825
2011,Male,bus,"Towns 2,000 - 4,999 population",5 to 12,primary-school,966
2011,Male,bus,"Towns 2,000 - 4,999 population",13 to 18,leaving-cert,1189
2011,Male,bus,"Towns 2,000 - 4,999 population",>=19,university,599
2011,Male,bus,"Towns 1,500 - 1,999 population",>=15,junior-cert,180
2011,Male,bus,"Towns 1,500 - 1,999 population",5 to 12,primary-school,228
2011,Male,bus,"Towns 1,500 - 1,999 population",13 to 18,leaving-cert,711
2011,Male,bus,"Towns 1,500 - 1,999 population",>=19,university,129
2011,Male,bus,"Towns 1,000 - 1,499 population",>=15,junior-cert,269
2011,Male,bus,"Towns 1,000 - 1,499 population",5 to 12,primary-school,332
2011,Male,bus,"Towns 1,000 - 1,499 population",13 to 18,leaving-cert,1020
2011,Male,bus,"Towns 1,000 - 1,499 population",>=19,university,197
2011,Male,bus,Total Towns 500 - 999 population,>=15,junior-cert,320
2011,Male,bus,Total Towns 500 - 999 population,5 to 12,primary-school,523
2011,Male,bus,Total Towns 500 - 999 population,13 to 18,leaving-cert,1975
2011,Male,bus,Total Towns 500 - 999 population,>=19,university,255
2011,Male,bus,Towns under 500 population but with at least 50 inhabited houses,>=15,junior-cert,204
2011,Male,bus,Towns under 500 population but with at least 50 inhabited houses,5 to 12,primary-school,731
2011,Male,bus,Towns under 500 population but with at least 50 inhabited houses,13 to 18,leaving-cert,2405
2011,Male,bus,Towns under 500 population but with at least 50 inhabited houses,>=19,university,228
2011,Male,bus,Remainder of country,>=15,junior-cert,2302
2011,Male,bus,Remainder of country,5 to 12,primary-school,19386
2011,Male,bus,Remainder of country,13 to 18,leaving-cert,26190
2011,Male,bus,Remainder of country,>=19,university,3009
2011,Male,train,Dublin City and suburbs,>=15,junior-cert,16019
2011,Male,train,Dublin City and suburbs,5 to 12,primary-school,265
2011,Male,train,Dublin City and suburbs,13 to 18,leaving-cert,1863
2011,Male,train,Dublin City and suburbs,>=19,university,3239
2011,Male,train,Cork City and suburbs,>=15,junior-cert,164
2011,Male,train,Cork City and suburbs,5 to 12,primary-school,5
2011,Male,train,Cork City and suburbs,13 to 18,leaving-cert,21
2011,Male,train,Cork City and suburbs,>=19,university,24
2011,Male,train,Limerick City and suburbs,>=15,junior-cert,36
2011,Male,train,Limerick City and suburbs,5 to 12,primary-school,3
2011,Male,train,Limerick City and suburbs,13 to 18,leaving-cert,2
2011,Male,train,Limerick City and suburbs,>=19,university,17
2011,Male,train,Galway City and suburbs,>=15,junior-cert,28
2011,Male,train,Galway City and suburbs,5 to 12,primary-school,1
2011,Male,train,Galway City and suburbs,13 to 18,leaving-cert,0
2011,Male,train,Galway City and suburbs,>=19,university,9
2011,Male,train,Waterford City and suburbs,>=15,junior-cert,20
2011,Male,train,Waterford City and suburbs,5 to 12,primary-school,0
2011,Male,train,Waterford City and suburbs,13 to 18,leaving-cert,1
2011,Male,train,Waterford City and suburbs,>=19,university,4
2011,Male,train,"Towns 10,000 population and over",>=15,junior-cert,5058
2011,Male,train,"Towns 10,000 population and over",5 to 12,primary-school,36
2011,Male,train,"Towns 10,000 population and over",13 to 18,leaving-cert,468
2011,Male,train,"Towns 10,000 population and over",>=19,university,1335
2011,Male,train,"Towns 5,000 - 9,999 population",>=15,junior-cert,2273
2011,Male,train,"Towns 5,000 - 9,999 population",5 to 12,primary-school,18
2011,Male,train,"Towns 5,000 - 9,999 population",13 to 18,leaving-cert,229
2011,Male,train,"Towns 5,000 - 9,999 population",>=19,university,517
2011,Male,train,"Towns 2,000 - 4,999 population",>=15,junior-cert,354
2011,Male,train,"Towns 2,000 - 4,999 population",5 to 12,primary-school,4
2011,Male,train,"Towns 2,000 - 4,999 population",13 to 18,leaving-cert,31
2011,Male,train,"Towns 2,000 - 4,999 population",>=19,university,102
2011,Male,train,"Towns 1,500 - 1,999 population",>=15,junior-cert,94
2011,Male,train,"Towns 1,500 - 1,999 population",5 to 12,primary-school,1
2011,Male,train,"Towns 1,500 - 1,999 population",13 to 18,leaving-cert,16
2011,Male,train,"Towns 1,500 - 1,999 population",>=19,university,33
2011,Male,train,"Towns 1,000 - 1,499 population",>=15,junior-cert,107
2011,Male,train,"Towns 1,000 - 1,499 population",5 to 12,primary-school,1
2011,Male,train,"Towns 1,000 - 1,499 population",13 to 18,leaving-cert,21
2011,Male,train,"Towns 1,000 - 1,499 population",>=19,university,38
2011,Male,train,Total Towns 500 - 999 population,>=15,junior-cert,159
2011,Male,train,Total Towns 500 - 999 population,5 to 12,primary-school,3
2011,Male,train,Total Towns 500 - 999 population,13 to 18,leaving-cert,17
2011,Male,train,Total Towns 500 - 999 population,>=19,university,40
2011,Male,train,Towns under 500 population but with at least 50 inhabited houses,>=15,junior-cert,112
2011,Male,train,Towns under 500 population but with at least 50 inhabited houses,5 to 12,primary-school,3
2011,Male,train,Towns under 500 population but with at least 50 inhabited houses,13 to 18,leaving-cert,19
2011,Male,train,Towns under 500 population but with at least 50 inhabited houses,>=19,university,46
2011,Male,train,Remainder of country,>=15,junior-cert,1228
2011,Male,train,Remainder of country,5 to 12,primary-school,31
2011,Male,train,Remainder of country,13 to 18,leaving-cert,238
2011,Male,train,Remainder of country,>=19,university,652
2011,Male,motorbike,Dublin City and suburbs,>=15,junior-cert,3811
2011,Male,motorbike,Dublin City and suburbs,5 to 12,primary-school,0
2011,Male,motorbike,Dublin City and suburbs,13 to 18,leaving-cert,28
2011,Male,motorbike,Dublin City and suburbs,>=19,university,235
2011,Male,motorbike,Cork City and suburbs,>=15,junior-cert,395
2011,Male,motorbike,Cork City and suburbs,5 to 12,primary-school,0
2011,Male,motorbike,Cork City and suburbs,13 to 18,leaving-cert,29
2011,Male,motorbike,Cork City and suburbs,>=19,university,49
2011,Male,motorbike,Limerick City and suburbs,>=15,junior-cert,79
2011,Male,motorbike,Limerick City and suburbs,5 to 12,primary-school,0
2011,Male,motorbike,Limerick City and suburbs,13 to 18,leaving-cert,5
2011,Male,motorbike,Limerick City and suburbs,>=19,university,13
2011,Male,motorbike,Galway City and suburbs,>=15,junior-cert,87
2011,Male,motorbike,Galway City and suburbs,5 to 12,primary-school,0
2011,Male,motorbike,Galway City and suburbs,13 to 18,leaving-cert,3
2011,Male,motorbike,Galway City and suburbs,>=19,university,18
2011,Male,motorbike,Waterford City and suburbs,>=15,junior-cert,75
2011,Male,motorbike,Waterford City and suburbs,5 to 12,primary-school,0
2011,Male,motorbike,Waterford City and suburbs,13 to 18,leaving-cert,1
2011,Male,motorbike,Waterford City and suburbs,>=19,university,7
2011,Male,motorbike,"Towns 10,000 population and over",>=15,junior-cert,1043
2011,Male,motorbike,"Towns 10,000 population and over",5 to 12,primary-school,0
2011,Male,motorbike,"Towns 10,000 population and over",13 to 18,leaving-cert,23
2011,Male,motorbike,"Towns 10,000 population and over",>=19,university,56
2011,Male,motorbike,"Towns 5,000 - 9,999 population",>=15,junior-cert,398
2011,Male,motorbike,"Towns 5,000 - 9,999 population",5 to 12,primary-school,0
2011,Male,motorbike,"Towns 5,000 - 9,999 population",13 to 18,leaving-cert,6
2011,Male,motorbike,"Towns 5,000 - 9,999 population",>=19,university,15
2011,Male,motorbike,"Towns 2,000 - 4,999 population",>=15,junior-cert,219
2011,Male,motorbike,"Towns 2,000 - 4,999 population",5 to 12,primary-school,0
2011,Male,motorbike,"Towns 2,000 - 4,999 population",13 to 18,leaving-cert,4
2011,Male,motorbike,"Towns 2,000 - 4,999 population",>=19,university,10
2011,Male,motorbike,"Towns 1,500 - 1,999 population",>=15,junior-cert,53
2011,Male,motorbike,"Towns 1,500 - 1,999 population",5 to 12,primary-school,0
2011,Male,motorbike,"Towns 1,500 - 1,999 population",13 to 18,leaving-cert,3
2011,Male,motorbike,"Towns 1,500 - 1,999 population",>=19,university,3
2011,Male,motorbike,"Towns 1,000 - 1,499 population",>=15,junior-cert,81
2011,Male,motorbike,"Towns 1,000 - 1,499 population",5 to 12,primary-school,0
2011,Male,motorbike,"Towns 1,000 - 1,499 population",13 to 18,leaving-cert,7
2011,Male,motorbike,"Towns 1,000 - 1,499 population",>=19,university,7
2011,Male,motorbike,Total Towns 500 - 999 population,>=15,junior-cert,90
2011,Male,motorbike,Total Towns 500 - 999 population,5 to 12,primary-school,0
2011,Male,motorbike,Total Towns 500 - 999 population,13 to 18,leaving-cert,3
2011,Male,motorbike,Total Towns 500 - 999 population,>=19,university,7
2011,Male,motorbike,Towns under 500 population but with at least 50 inhabited houses,>=15,junior-cert,100
2011,Male,motorbike,Towns under 500 population but with at least 50 inhabited houses,5 to 12,primary-school,0
2011,Male,motorbike,Towns under 500 population but with at least 50 inhabited houses,13 to 18,leaving-cert,1
2011,Male,motorbike,Towns under 500 population but with at least 50 inhabited houses,>=19,university,14
2011,Male,motorbike,Remainder of country,>=15,junior-cert,901
2011,Male,motorbike,Remainder of country,5 to 12,primary-school,0
2011,Male,motorbike,Remainder of country,13 to 18,leaving-cert,68
2011,Male,motorbike,Remainder of country,>=19,university,72
2011,Male,car,Dublin City and suburbs,>=15,junior-cert,112669
2011,Male,car,Dublin City and suburbs,5 to 12,primary-school,0
2011,Male,car,Dublin City and suburbs,13 to 18,leaving-cert,329
2011,Male,car,Dublin City and suburbs,>=19,university,4411
2011,Male,car,Cork City and suburbs,>=15,junior-cert,24613
2011,Male,car,Cork City and suburbs,5 to 12,primary-school,0
2011,Male,car,Cork City and suburbs,13 to 18,leaving-cert,139
2011,Male,car,Cork City and suburbs,>=19,university,1302
2011,Male,car,Limerick City and suburbs,>=15,junior-cert,10309
2011,Male,car,Limerick City and suburbs,5 to 12,primary-school,0
2011,Male,car,Limerick City and suburbs,13 to 18,leaving-cert,55
2011,Male,car,Limerick City and suburbs,>=19,university,896
2011,Male,car,Galway City and suburbs,>=15,junior-cert,8545
2011,Male,car,Galway City and suburbs,5 to 12,primary-school,0
2011,Male,car,Galway City and suburbs,13 to 18,leaving-cert,18
2011,Male,car,Galway City and suburbs,>=19,university,554
2011,Male,car,Waterford City and suburbs,>=15,junior-cert,5901
2011,Male,car,Waterford City and suburbs,5 to 12,primary-school,0
2011,Male,car,Waterford City and suburbs,13 to 18,leaving-cert,29
2011,Male,car,Waterford City and suburbs,>=19,university,347
2011,Male,car,"Towns 10,000 population and over",>=15,junior-cert,89573
2011,Male,car,"Towns 10,000 population and over",5 to 12,primary-school,0
2011,Male,car,"Towns 10,000 population and over",13 to 18,leaving-cert,343
2011,Male,car,"Towns 10,000 population and over",>=19,university,3297
2011,Male,car,"Towns 5,000 - 9,999 population",>=15,junior-cert,36559
2011,Male,car,"Towns 5,000 - 9,999 population",5 to 12,primary-school,0
2011,Male,car,"Towns 5,000 - 9,999 population",13 to 18,leaving-cert,171
2011,Male,car,"Towns 5,000 - 9,999 population",>=19,university,1256
2011,Male,car,"Towns 2,000 - 4,999 population",>=15,junior-cert,27132
2011,Male,car,"Towns 2,000 - 4,999 population",5 to 12,primary-school,0
2011,Male,car,"Towns 2,000 - 4,999 population",13 to 18,leaving-cert,125
2011,Male,car,"Towns 2,000 - 4,999 population",>=19,university,1056
2011,Male,car,"Towns 1,500 - 1,999 population",>=15,junior-cert,7491
2011,Male,car,"Towns 1,500 - 1,999 population",5 to 12,primary-school,0
2011,Male,car,"Towns 1,500 - 1,999 population",13 to 18,leaving-cert,36
2011,Male,car,"Towns 1,500 - 1,999 population",>=19,university,301
2011,Male,car,"Towns 1,000 - 1,499 population",>=15,junior-cert,10720
2011,Male,car,"Towns 1,000 - 1,499 population",5 to 12,primary-school,0
2011,Male,car,"Towns 1,000 - 1,499 population",13 to 18,leaving-cert,68
2011,Male,car,"Towns 1,000 - 1,499 population",>=19,university,450
2011,Male,car,Total Towns 500 - 999 population,>=15,junior-cert,13881
2011,Male,car,Total Towns 500 - 999 population,5 to 12,primary-school,0
2011,Male,car,Total Towns 500 - 999 population,13 to 18,leaving-cert,92
2011,Male,car,Total Towns 500 - 999 population,>=19,university,626
2011,Male,car,Towns under 500 population but with at least 50 inhabited houses,>=15,junior-cert,12783
2011,Male,car,Towns under 500 population but with at least 50 inhabited houses,5 to 12,primary-school,0
2011,Male,car,Towns under 500 population but with at least 50 inhabited houses,13 to 18,leaving-cert,86
2011,Male,car,Towns under 500 population but with at least 50 inhabited houses,>=19,university,618
2011,Male,car,Remainder of country,>=15,junior-cert,155637
2011,Male,car,Remainder of country,5 to 12,primary-school,0
2011,Male,car,Remainder of country,13 to 18,leaving-cert,2093
2011,Male,car,Remainder of country,>=19,university,8912
2011,Male,carpool,Dublin City and suburbs,>=15,junior-cert,4593
2011,Male,carpool,Dublin City and suburbs,5 to 12,primary-school,23493
2011,Male,carpool,Dublin City and suburbs,13 to 18,leaving-cert,7605
2011,Male,carpool,Dublin City and suburbs,>=19,university,882
2011,Male,carpool,Cork City and suburbs,>=15,junior-cert,1414
2011,Male,carpool,Cork City and suburbs,5 to 12,primary-school,5861
2011,Male,carpool,Cork City and suburbs,13 to 18,leaving-cert,3286
2011,Male,carpool,Cork City and suburbs,>=19,university,683
2011,Male,carpool,Limerick City and suburbs,>=15,junior-cert,705
2011,Male,carpool,Limerick City and suburbs,5 to 12,primary-school,2298
2011,Male,carpool,Limerick City and suburbs,13 to 18,leaving-cert,1172
2011,Male,carpool,Limerick City and suburbs,>=19,university,246
2011,Male,carpool,Galway City and suburbs,>=15,junior-cert,555
2011,Male,carpool,Galway City and suburbs,5 to 12,primary-school,2153
2011,Male,carpool,Galway City and suburbs,13 to 18,leaving-cert,907
2011,Male,carpool,Galway City and suburbs,>=19,university,211
2011,Male,carpool,Waterford City and suburbs,>=15,junior-cert,538
2011,Male,carpool,Waterford City and suburbs,5 to 12,primary-school,1834
2011,Male,carpool,Waterford City and suburbs,13 to 18,leaving-cert,881
2011,Male,carpool,Waterford City and suburbs,>=19,university,133
2011,Male,carpool,"Towns 10,000 population and over",>=15,junior-cert,5415
2011,Male,carpool,"Towns 10,000 population and over",5 to 12,primary-school,24273
2011,Male,carpool,"Towns 10,000 population and over",13 to 18,leaving-cert,9796
2011,Male,carpool,"Towns 10,000 population and over",>=19,university,1135
2011,Male,carpool,"Towns 5,000 - 9,999 population",>=15,junior-cert,2498
2011,Male,carpool,"Towns 5,000 - 9,999 population",5 to 12,primary-school,9544
2011,Male,carpool,"Towns 5,000 - 9,999 population",13 to 18,leaving-cert,3430
2011,Male,carpool,"Towns 5,000 - 9,999 population",>=19,university,378
2011,Male,carpool,"Towns 2,000 - 4,999 population",>=15,junior-cert,1819
2011,Male,carpool,"Towns 2,000 - 4,999 population",5 to 12,primary-school,7039
2011,Male,carpool,"Towns 2,000 - 4,999 population",13 to 18,leaving-cert,2525
2011,Male,carpool,"Towns 2,000 - 4,999 population",>=19,university,330
2011,Male,carpool,"Towns 1,500 - 1,999 population",>=15,junior-cert,454
2011,Male,carpool,"Towns 1,500 - 1,999 population",5 to 12,primary-school,2110
2011,Male,carpool,"Towns 1,500 - 1,999 population",13 to 18,leaving-cert,798
2011,Male,carpool,"Towns 1,500 - 1,999 population",>=19,university,136
2011,Male,carpool,"Towns 1,000 - 1,499 population",>=15,junior-cert,602
2011,Male,carpool,"Towns 1,000 - 1,499 population",5 to 12,primary-school,3088
2011,Male,carpool,"Towns 1,000 - 1,499 population",13 to 18,leaving-cert,974
2011,Male,carpool,"Towns 1,000 - 1,499 population",>=19,university,144
2011,Male,carpool,Total Towns 500 - 999 population,>=15,junior-cert,792
2011,Male,carpool,Total Towns 500 - 999 population,5 to 12,primary-school,4078
2011,Male,carpool,Total Towns 500 - 999 population,13 to 18,leaving-cert,1513
2011,Male,carpool,Total Towns 500 - 999 population,>=19,university,215
2011,Male,carpool,Towns under 500 population but with at least 50 inhabited houses,>=15,junior-cert,657
2011,Male,carpool,Towns under 500 population but with at least 50 inhabited houses,5 to 12,primary-school,3585
2011,Male,carpool,Towns under 500 population but with at least 50 inhabited houses,13 to 18,leaving-cert,1256
2011,Male,carpool,Towns under 500 population but with at least 50 inhabited houses,>=19,university,200
2011,Male,carpool,Remainder of country,>=15,junior-cert,5776
2011,Male,carpool,Remainder of country,5 to 12,primary-school,61462
2011,Male,carpool,Remainder of country,13 to 18,leaving-cert,27272
2011,Male,carpool,Remainder of country,>=19,university,2803
2011,Male,truck,Dublin City and suburbs,>=15,junior-cert,13484
2011,Male,truck,Dublin City and suburbs,5 to 12,primary-school,65
2011,Male,truck,Dublin City and suburbs,13 to 18,leaving-cert,28
2011,Male,truck,Dublin City and suburbs,>=19,university,69
2011,Male,truck,Cork City and suburbs,>=15,junior-cert,3002
2011,Male,truck,Cork City and suburbs,5 to 12,primary-school,17
2011,Male,truck,Cork City and suburbs,13 to 18,leaving-cert,16
2011,Male,truck,Cork City and suburbs,>=19,university,26
2011,Male,truck,Limerick City and suburbs,>=15,junior-cert,1158
2011,Male,truck,Limerick City and suburbs,5 to 12,primary-school,5
2011,Male,truck,Limerick City and suburbs,13 to 18,leaving-cert,6
2011,Male,truck,Limerick City and suburbs,>=19,university,16
2011,Male,truck,Galway City and suburbs,>=15,junior-cert,983
2011,Male,truck,Galway City and suburbs,5 to 12,primary-school,6
2011,Male,truck,Galway City and suburbs,13 to 18,leaving-cert,2
2011,Male,truck,Galway City and suburbs,>=19,university,20
2011,Male,truck,Waterford City and suburbs,>=15,junior-cert,743
2011,Male,truck,Waterford City and suburbs,5 to 12,primary-school,3
2011,Male,truck,Waterford City and suburbs,13 to 18,leaving-cert,4
2011,Male,truck,Waterford City and suburbs,>=19,university,11
2011,Male,truck,"Towns 10,000 population and over",>=15,junior-cert,13212
2011,Male,truck,"Towns 10,000 population and over",5 to 12,primary-school,88
2011,Male,truck,"Towns 10,000 population and over",13 to 18,leaving-cert,55
2011,Male,truck,"Towns 10,000 population and over",>=19,university,116
2011,Male,truck,"Towns 5,000 - 9,999 population",>=15,junior-cert,6102
2011,Male,truck,"Towns 5,000 - 9,999 population",5 to 12,primary-school,27
2011,Male,truck,"Towns 5,000 - 9,999 population",13 to 18,leaving-cert,17
2011,Male,truck,"Towns 5,000 - 9,999 population",>=19,university,53
2011,Male,truck,"Towns 2,000 - 4,999 population",>=15,junior-cert,5616
2011,Male,truck,"Towns 2,000 - 4,999 population",5 to 12,primary-school,22
2011,Male,truck,"Towns 2,000 - 4,999 population",13 to 18,leaving-cert,26
2011,Male,truck,"Towns 2,000 - 4,999 population",>=19,university,57
2011,Male,truck,"Towns 1,500 - 1,999 population",>=15,junior-cert,1605
2011,Male,truck,"Towns 1,500 - 1,999 population",5 to 12,primary-school,10
