"Statistic","CensusYear","Age Group","Sex","Travelling Time","UNIT","VALUE"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Both sexes","1½ hours and over","Number","5353"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Both sexes","Not stated","Number","12940"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Male","Total time travelling","Number","110217"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Male","< ¼ hour","Number","26944"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Male","¼ hour - < ½ hour","Number","33354"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Male","½ hour - < ¾ hour","Number","23698"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Male","¾ hour - < 1 hour","Number","7456"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Male","1 hour - < 1½ hours","Number","8129"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Male","1½ hours and over","Number","3021"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Male","Not stated","Number","7615"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Female","Total time travelling","Number","127965"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Female","< ¼ hour","Number","32865"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Female","¼ hour - < ½ hour","Number","42065"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Female","½ hour - < ¾ hour","Number","27361"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Female","¾ hour - < 1 hour","Number","9833"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Female","1 hour - < 1½ hours","Number","8184"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Female","1½ hours and over","Number","2332"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","25 - 29 years","Female","Not stated","Number","5325"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Both sexes","Total time travelling","Number","275519"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Both sexes","< ¼ hour","Number","62704"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Both sexes","¼ hour - < ½ hour","Number","84183"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Both sexes","½ hour - < ¾ hour","Number","61933"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Both sexes","¾ hour - < 1 hour","Number","23703"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Both sexes","1 hour - < 1½ hours","Number","22039"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Both sexes","1½ hours and over","Number","7258"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Both sexes","Not stated","Number","13699"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Male","Total time travelling","Number","138005"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Male","< ¼ hour","Number","31183"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Male","¼ hour - < ½ hour","Number","40300"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Male","½ hour - < ¾ hour","Number","30747"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Male","¾ hour - < 1 hour","Number","11251"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Male","1 hour - < 1½ hours","Number","11811"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Male","1½ hours and over","Number","4319"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Male","Not stated","Number","8394"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Female","Total time travelling","Number","137514"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Female","< ¼ hour","Number","31521"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Female","¼ hour - < ½ hour","Number","43883"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Female","½ hour - < ¾ hour","Number","31186"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Female","¾ hour - < 1 hour","Number","12452"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Female","1 hour - < 1½ hours","Number","10228"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Female","1½ hours and over","Number","2939"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","30 - 34 years","Female","Not stated","Number","5305"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Both sexes","Total time travelling","Number","245600"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Both sexes","< ¼ hour","Number","55378"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Both sexes","¼ hour - < ½ hour","Number","73039"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Both sexes","½ hour - < ¾ hour","Number","55621"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Both sexes","¾ hour - < 1 hour","Number","21042"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Both sexes","1 hour - < 1½ hours","Number","20077"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Both sexes","1½ hours and over","Number","7136"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Both sexes","Not stated","Number","13307"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Male","Total time travelling","Number","130330"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Male","< ¼ hour","Number","28069"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Male","¼ hour - < ½ hour","Number","36488"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Male","½ hour - < ¾ hour","Number","29679"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Male","¾ hour - < 1 hour","Number","11141"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Male","1 hour - < 1½ hours","Number","11845"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Male","1½ hours and over","Number","4666"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Male","Not stated","Number","8442"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Female","Total time travelling","Number","115270"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Female","< ¼ hour","Number","27309"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Female","¼ hour - < ½ hour","Number","36551"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Female","½ hour - < ¾ hour","Number","25942"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Female","¾ hour - < 1 hour","Number","9901"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Female","1 hour - < 1½ hours","Number","8232"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Female","1½ hours and over","Number","2470"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","35 - 39 years","Female","Not stated","Number","4865"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Both sexes","Total time travelling","Number","213553"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Both sexes","< ¼ hour","Number","52417"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Both sexes","¼ hour - < ½ hour","Number","64817"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Both sexes","½ hour - < ¾ hour","Number","45473"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Both sexes","¾ hour - < 1 hour","Number","16516"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Both sexes","1 hour - < 1½ hours","Number","15382"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Both sexes","1½ hours and over","Number","5929"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Both sexes","Not stated","Number","13019"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Male","Total time travelling","Number","116045"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Male","< ¼ hour","Number","26036"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Male","¼ hour - < ½ hour","Number","32669"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Male","½ hour - < ¾ hour","Number","25410"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Male","¾ hour - < 1 hour","Number","9316"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Male","1 hour - < 1½ hours","Number","9824"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Male","1½ hours and over","Number","4213"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Male","Not stated","Number","8577"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Female","Total time travelling","Number","97508"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Female","< ¼ hour","Number","26381"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Female","¼ hour - < ½ hour","Number","32148"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Female","½ hour - < ¾ hour","Number","20063"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Female","¾ hour - < 1 hour","Number","7200"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Female","1 hour - < 1½ hours","Number","5558"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Female","1½ hours and over","Number","1716"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","40 - 44 years","Female","Not stated","Number","4442"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Both sexes","Total time travelling","Number","194706"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Both sexes","< ¼ hour","Number","51389"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Both sexes","¼ hour - < ½ hour","Number","60851"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Both sexes","½ hour - < ¾ hour","Number","39818"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Both sexes","¾ hour - < 1 hour","Number","13805"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Both sexes","1 hour - < 1½ hours","Number","12048"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Both sexes","1½ hours and over","Number","4608"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Both sexes","Not stated","Number","12187"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Male","Total time travelling","Number","102708"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Male","< ¼ hour","Number","24268"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Male","¼ hour - < ½ hour","Number","29583"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Male","½ hour - < ¾ hour","Number","21880"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Male","¾ hour - < 1 hour","Number","7701"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Male","1 hour - < 1½ hours","Number","7775"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Male","1½ hours and over","Number","3301"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Male","Not stated","Number","8200"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Female","Total time travelling","Number","91998"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Female","< ¼ hour","Number","27121"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Female","¼ hour - < ½ hour","Number","31268"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Female","½ hour - < ¾ hour","Number","17938"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Female","¾ hour - < 1 hour","Number","6104"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Female","1 hour - < 1½ hours","Number","4273"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Female","1½ hours and over","Number","1307"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","45 - 49 years","Female","Not stated","Number","3987"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Both sexes","Total time travelling","Number","166527"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Both sexes","< ¼ hour","Number","45172"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Both sexes","¼ hour - < ½ hour","Number","52863"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Both sexes","½ hour - < ¾ hour","Number","33124"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Both sexes","¾ hour - < 1 hour","Number","10928"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Both sexes","1 hour - < 1½ hours","Number","9109"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Both sexes","1½ hours and over","Number","3171"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Both sexes","Not stated","Number","12160"
