year,sex,means_of_travel,town_size,age_range,edu_status,value
2011,Male,bike,Dublin City and suburbs,5-12,at primary school,1824
2011,Male,bike,Dublin City and suburbs,13-18,at secondary school,3870
2011,Male,bike,Dublin City and suburbs,19-66,at university,3494
2011,Male,bike,Cork City and suburbs,15-66,working,1186
2011,Male,bike,Cork City and suburbs,5-12,at primary school,49
2011,Male,bike,Cork City and suburbs,13-18,at secondary school,120
2011,Male,bike,Cork City and suburbs,19-66,at university,450
2011,Male,bike,Limerick City and suburbs,15-66,working,605
2011,Male,bike,Limerick City and suburbs,5-12,at primary school,50
2011,Male,bike,Limerick City and suburbs,13-18,at secondary school,172
2011,Male,bike,Limerick City and suburbs,19-66,at university,227
2011,Male,bike,Galway City and suburbs,15-66,working,924
2011,Male,bike,Galway City and suburbs,5-12,at primary school,70
2011,Male,bike,Galway City and suburbs,13-18,at secondary school,131
2011,Male,bike,Galway City and suburbs,19-66,at university,432
2011,Male,bike,Waterford City and suburbs,15-66,working,298
2011,Male,bike,Waterford City and suburbs,5-12,at primary school,11
2011,Male,bike,Waterford City and suburbs,13-18,at secondary school,19
2011,Male,bike,Waterford City and suburbs,19-66,at university,70
2011,Male,bike,"Towns 10,000 population and over",15-66,working,3659
2011,Male,bike,"Towns 10,000 population and over",5-12,at primary school,898
2011,Male,bike,"Towns 10,000 population and over",13-18,at secondary school,1058
2011,Male,bike,"Towns 10,000 population and over",19-66,at university,518
2011,Male,bike,"Towns 5,000 - 9,999 population",15-66,working,1006
2011,Male,bike,"Towns 5,000 - 9,999 population",5-12,at primary school,436
2011,Male,bike,"Towns 5,000 - 9,999 population",13-18,at secondary school,253
2011,Male,bike,"Towns 5,000 - 9,999 population",19-66,at university,89
2011,Male,bike,"Towns 2,000 - 4,999 population",15-66,working,564
2011,Male,bike,"Towns 2,000 - 4,999 population",5-12,at primary school,188
2011,Male,bike,"Towns 2,000 - 4,999 population",13-18,at secondary school,74
2011,Male,bike,"Towns 2,000 - 4,999 population",19-66,at university,75
2011,Male,bike,"Towns 1,500 - 1,999 population",15-66,working,127
2011,Male,bike,"Towns 1,500 - 1,999 population",5-12,at primary school,59
2011,Male,bike,"Towns 1,500 - 1,999 population",13-18,at secondary school,14
2011,Male,bike,"Towns 1,500 - 1,999 population",19-66,at university,23
2011,Male,bike,"Towns 1,000 - 1,499 population",15-66,working,166
2011,Male,bike,"Towns 1,000 - 1,499 population",5-12,at primary school,82
2011,Male,bike,"Towns 1,000 - 1,499 population",13-18,at secondary school,25
2011,Male,bike,"Towns 1,000 - 1,499 population",19-66,at university,21
2011,Male,bike,Total Towns 500 - 999 population,15-66,working,163
2011,Male,bike,Total Towns 500 - 999 population,5-12,at primary school,118
2011,Male,bike,Total Towns 500 - 999 population,13-18,at secondary school,27
2011,Male,bike,Total Towns 500 - 999 population,19-66,at university,42
2011,Male,bike,Towns under 500 population but with at least 50 inhabited houses,15-66,working,171
2011,Male,bike,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,85
2011,Male,bike,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,21
2011,Male,bike,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,40
2011,Male,bike,Remainder of country,15-66,working,1672
2011,Male,bike,Remainder of country,5-12,at primary school,587
2011,Male,bike,Remainder of country,13-18,at secondary school,279
2011,Male,bike,Remainder of country,19-66,at university,734
2011,Male,bus,Dublin City and suburbs,15-66,working,24820
2011,Male,bus,Dublin City and suburbs,5-12,at primary school,3182
2011,Male,bus,Dublin City and suburbs,13-18,at secondary school,7653
2011,Male,bus,Dublin City and suburbs,19-66,at university,9320
2011,Male,bus,Cork City and suburbs,15-66,working,1990
2011,Male,bus,Cork City and suburbs,5-12,at primary school,378
2011,Male,bus,Cork City and suburbs,13-18,at secondary school,1106
2011,Male,bus,Cork City and suburbs,19-66,at university,847
2011,Male,bus,Limerick City and suburbs,15-66,working,525
2011,Male,bus,Limerick City and suburbs,5-12,at primary school,188
2011,Male,bus,Limerick City and suburbs,13-18,at secondary school,522
2011,Male,bus,Limerick City and suburbs,19-66,at university,384
2011,Male,bus,Galway City and suburbs,15-66,working,634
2011,Male,bus,Galway City and suburbs,5-12,at primary school,221
2011,Male,bus,Galway City and suburbs,13-18,at secondary school,550
2011,Male,bus,Galway City and suburbs,19-66,at university,314
2011,Male,bus,Waterford City and suburbs,15-66,working,174
2011,Male,bus,Waterford City and suburbs,5-12,at primary school,167
2011,Male,bus,Waterford City and suburbs,13-18,at secondary school,229
2011,Male,bus,Waterford City and suburbs,19-66,at university,125
2011,Male,bus,"Towns 10,000 population and over",15-66,working,4928
2011,Male,bus,"Towns 10,000 population and over",5-12,at primary school,3502
2011,Male,bus,"Towns 10,000 population and over",13-18,at secondary school,3301
2011,Male,bus,"Towns 10,000 population and over",19-66,at university,2932
2011,Male,bus,"Towns 5,000 - 9,999 population",15-66,working,1424
2011,Male,bus,"Towns 5,000 - 9,999 population",5-12,at primary school,1413
2011,Male,bus,"Towns 5,000 - 9,999 population",13-18,at secondary school,1292
2011,Male,bus,"Towns 5,000 - 9,999 population",19-66,at university,966
2011,Male,bus,"Towns 2,000 - 4,999 population",15-66,working,825
2011,Male,bus,"Towns 2,000 - 4,999 population",5-12,at primary school,966
2011,Male,bus,"Towns 2,000 - 4,999 population",13-18,at secondary school,1189
2011,Male,bus,"Towns 2,000 - 4,999 population",19-66,at university,599
2011,Male,bus,"Towns 1,500 - 1,999 population",15-66,working,180
2011,Male,bus,"Towns 1,500 - 1,999 population",5-12,at primary school,228
2011,Male,bus,"Towns 1,500 - 1,999 population",13-18,at secondary school,711
2011,Male,bus,"Towns 1,500 - 1,999 population",19-66,at university,129
2011,Male,bus,"Towns 1,000 - 1,499 population",15-66,working,269
2011,Male,bus,"Towns 1,000 - 1,499 population",5-12,at primary school,332
2011,Male,bus,"Towns 1,000 - 1,499 population",13-18,at secondary school,1020
2011,Male,bus,"Towns 1,000 - 1,499 population",19-66,at university,197
2011,Male,bus,Total Towns 500 - 999 population,15-66,working,320
2011,Male,bus,Total Towns 500 - 999 population,5-12,at primary school,523
2011,Male,bus,Total Towns 500 - 999 population,13-18,at secondary school,1975
2011,Male,bus,Total Towns 500 - 999 population,19-66,at university,255
2011,Male,bus,Towns under 500 population but with at least 50 inhabited houses,15-66,working,204
2011,Male,bus,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,731
2011,Male,bus,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,2405
2011,Male,bus,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,228
2011,Male,bus,Remainder of country,15-66,working,2302
2011,Male,bus,Remainder of country,5-12,at primary school,19386
2011,Male,bus,Remainder of country,13-18,at secondary school,26190
2011,Male,bus,Remainder of country,19-66,at university,3009
2011,Male,train,Dublin City and suburbs,15-66,working,16019
2011,Male,train,Dublin City and suburbs,5-12,at primary school,265
2011,Male,train,Dublin City and suburbs,13-18,at secondary school,1863
2011,Male,train,Dublin City and suburbs,19-66,at university,3239
2011,Male,train,Cork City and suburbs,15-66,working,164
2011,Male,train,Cork City and suburbs,5-12,at primary school,5
2011,Male,train,Cork City and suburbs,13-18,at secondary school,21
2011,Male,train,Cork City and suburbs,19-66,at university,24
2011,Male,train,Limerick City and suburbs,15-66,working,36
2011,Male,train,Limerick City and suburbs,5-12,at primary school,3
2011,Male,train,Limerick City and suburbs,13-18,at secondary school,2
2011,Male,train,Limerick City and suburbs,19-66,at university,17
2011,Male,train,Galway City and suburbs,15-66,working,28
2011,Male,train,Galway City and suburbs,5-12,at primary school,1
2011,Male,train,Galway City and suburbs,13-18,at secondary school,0
2011,Male,train,Galway City and suburbs,19-66,at university,9
2011,Male,train,Waterford City and suburbs,15-66,working,20
2011,Male,train,Waterford City and suburbs,5-12,at primary school,0
2011,Male,train,Waterford City and suburbs,13-18,at secondary school,1
2011,Male,train,Waterford City and suburbs,19-66,at university,4
2011,Male,train,"Towns 10,000 population and over",15-66,working,5058
2011,Male,train,"Towns 10,000 population and over",5-12,at primary school,36
2011,Male,train,"Towns 10,000 population and over",13-18,at secondary school,468
2011,Male,train,"Towns 10,000 population and over",19-66,at university,1335
2011,Male,train,"Towns 5,000 - 9,999 population",15-66,working,2273
2011,Male,train,"Towns 5,000 - 9,999 population",5-12,at primary school,18
2011,Male,train,"Towns 5,000 - 9,999 population",13-18,at secondary school,229
2011,Male,train,"Towns 5,000 - 9,999 population",19-66,at university,517
2011,Male,train,"Towns 2,000 - 4,999 population",15-66,working,354
2011,Male,train,"Towns 2,000 - 4,999 population",5-12,at primary school,4
2011,Male,train,"Towns 2,000 - 4,999 population",13-18,at secondary school,31
2011,Male,train,"Towns 2,000 - 4,999 population",19-66,at university,102
2011,Male,train,"Towns 1,500 - 1,999 population",15-66,working,94
2011,Male,train,"Towns 1,500 - 1,999 population",5-12,at primary school,1
2011,Male,train,"Towns 1,500 - 1,999 population",13-18,at secondary school,16
2011,Male,train,"Towns 1,500 - 1,999 population",19-66,at university,33
2011,Male,train,"Towns 1,000 - 1,499 population",15-66,working,107
2011,Male,train,"Towns 1,000 - 1,499 population",5-12,at primary school,1
2011,Male,train,"Towns 1,000 - 1,499 population",13-18,at secondary school,21
2011,Male,train,"Towns 1,000 - 1,499 population",19-66,at university,38
2011,Male,train,Total Towns 500 - 999 population,15-66,working,159
2011,Male,train,Total Towns 500 - 999 population,5-12,at primary school,3
2011,Male,train,Total Towns 500 - 999 population,13-18,at secondary school,17
2011,Male,train,Total Towns 500 - 999 population,19-66,at university,40
2011,Male,train,Towns under 500 population but with at least 50 inhabited houses,15-66,working,112
2011,Male,train,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,3
2011,Male,train,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,19
2011,Male,train,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,46
2011,Male,train,Remainder of country,15-66,working,1228
2011,Male,train,Remainder of country,5-12,at primary school,31
2011,Male,train,Remainder of country,13-18,at secondary school,238
2011,Male,train,Remainder of country,19-66,at university,652
2011,Male,motorbike,Dublin City and suburbs,15-66,working,3811
2011,Male,motorbike,Dublin City and suburbs,5-12,at primary school,0
2011,Male,motorbike,Dublin City and suburbs,13-18,at secondary school,28
2011,Male,motorbike,Dublin City and suburbs,19-66,at university,235
2011,Male,motorbike,Cork City and suburbs,15-66,working,395
2011,Male,motorbike,Cork City and suburbs,5-12,at primary school,0
2011,Male,motorbike,Cork City and suburbs,13-18,at secondary school,29
2011,Male,motorbike,Cork City and suburbs,19-66,at university,49
2011,Male,motorbike,Limerick City and suburbs,15-66,working,79
2011,Male,motorbike,Limerick City and suburbs,5-12,at primary school,0
2011,Male,motorbike,Limerick City and suburbs,13-18,at secondary school,5
2011,Male,motorbike,Limerick City and suburbs,19-66,at university,13
2011,Male,motorbike,Galway City and suburbs,15-66,working,87
2011,Male,motorbike,Galway City and suburbs,5-12,at primary school,0
2011,Male,motorbike,Galway City and suburbs,13-18,at secondary school,3
2011,Male,motorbike,Galway City and suburbs,19-66,at university,18
2011,Male,motorbike,Waterford City and suburbs,15-66,working,75
2011,Male,motorbike,Waterford City and suburbs,5-12,at primary school,0
2011,Male,motorbike,Waterford City and suburbs,13-18,at secondary school,1
2011,Male,motorbike,Waterford City and suburbs,19-66,at university,7
2011,Male,motorbike,"Towns 10,000 population and over",15-66,working,1043
2011,Male,motorbike,"Towns 10,000 population and over",5-12,at primary school,0
2011,Male,motorbike,"Towns 10,000 population and over",13-18,at secondary school,23
2011,Male,motorbike,"Towns 10,000 population and over",19-66,at university,56
2011,Male,motorbike,"Towns 5,000 - 9,999 population",15-66,working,398
2011,Male,motorbike,"Towns 5,000 - 9,999 population",5-12,at primary school,0
2011,Male,motorbike,"Towns 5,000 - 9,999 population",13-18,at secondary school,6
2011,Male,motorbike,"Towns 5,000 - 9,999 population",19-66,at university,15
2011,Male,motorbike,"Towns 2,000 - 4,999 population",15-66,working,219
2011,Male,motorbike,"Towns 2,000 - 4,999 population",5-12,at primary school,0
2011,Male,motorbike,"Towns 2,000 - 4,999 population",13-18,at secondary school,4
2011,Male,motorbike,"Towns 2,000 - 4,999 population",19-66,at university,10
2011,Male,motorbike,"Towns 1,500 - 1,999 population",15-66,working,53
2011,Male,motorbike,"Towns 1,500 - 1,999 population",5-12,at primary school,0
2011,Male,motorbike,"Towns 1,500 - 1,999 population",13-18,at secondary school,3
2011,Male,motorbike,"Towns 1,500 - 1,999 population",19-66,at university,3
2011,Male,motorbike,"Towns 1,000 - 1,499 population",15-66,working,81
2011,Male,motorbike,"Towns 1,000 - 1,499 population",5-12,at primary school,0
2011,Male,motorbike,"Towns 1,000 - 1,499 population",13-18,at secondary school,7
2011,Male,motorbike,"Towns 1,000 - 1,499 population",19-66,at university,7
2011,Male,motorbike,Total Towns 500 - 999 population,15-66,working,90
2011,Male,motorbike,Total Towns 500 - 999 population,5-12,at primary school,0
2011,Male,motorbike,Total Towns 500 - 999 population,13-18,at secondary school,3
2011,Male,motorbike,Total Towns 500 - 999 population,19-66,at university,7
2011,Male,motorbike,Towns under 500 population but with at least 50 inhabited houses,15-66,working,100
2011,Male,motorbike,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,0
2011,Male,motorbike,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,1
2011,Male,motorbike,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,14
2011,Male,motorbike,Remainder of country,15-66,working,901
2011,Male,motorbike,Remainder of country,5-12,at primary school,0
2011,Male,motorbike,Remainder of country,13-18,at secondary school,68
2011,Male,motorbike,Remainder of country,19-66,at university,72
2011,Male,car,Dublin City and suburbs,15-66,working,112669
2011,Male,car,Dublin City and suburbs,5-12,at primary school,0
2011,Male,car,Dublin City and suburbs,13-18,at secondary school,329
2011,Male,car,Dublin City and suburbs,19-66,at university,4411
2011,Male,car,Cork City and suburbs,15-66,working,24613
2011,Male,car,Cork City and suburbs,5-12,at primary school,0
2011,Male,car,Cork City and suburbs,13-18,at secondary school,139
2011,Male,car,Cork City and suburbs,19-66,at university,1302
2011,Male,car,Limerick City and suburbs,15-66,working,10309
2011,Male,car,Limerick City and suburbs,5-12,at primary school,0
2011,Male,car,Limerick City and suburbs,13-18,at secondary school,55
2011,Male,car,Limerick City and suburbs,19-66,at university,896
2011,Male,car,Galway City and suburbs,15-66,working,8545
2011,Male,car,Galway City and suburbs,5-12,at primary school,0
2011,Male,car,Galway City and suburbs,13-18,at secondary school,18
2011,Male,car,Galway City and suburbs,19-66,at university,554
2011,Male,car,Waterford City and suburbs,15-66,working,5901
2011,Male,car,Waterford City and suburbs,5-12,at primary school,0
2011,Male,car,Waterford City and suburbs,13-18,at secondary school,29
2011,Male,car,Waterford City and suburbs,19-66,at university,347
2011,Male,car,"Towns 10,000 population and over",15-66,working,89573
2011,Male,car,"Towns 10,000 population and over",5-12,at primary school,0
2011,Male,car,"Towns 10,000 population and over",13-18,at secondary school,343
2011,Male,car,"Towns 10,000 population and over",19-66,at university,3297
2011,Male,car,"Towns 5,000 - 9,999 population",15-66,working,36559
2011,Male,car,"Towns 5,000 - 9,999 population",5-12,at primary school,0
2011,Male,car,"Towns 5,000 - 9,999 population",13-18,at secondary school,171
2011,Male,car,"Towns 5,000 - 9,999 population",19-66,at university,1256
2011,Male,car,"Towns 2,000 - 4,999 population",15-66,working,27132
2011,Male,car,"Towns 2,000 - 4,999 population",5-12,at primary school,0
2011,Male,car,"Towns 2,000 - 4,999 population",13-18,at secondary school,125
2011,Male,car,"Towns 2,000 - 4,999 population",19-66,at university,1056
2011,Male,car,"Towns 1,500 - 1,999 population",15-66,working,7491
2011,Male,car,"Towns 1,500 - 1,999 population",5-12,at primary school,0
2011,Male,car,"Towns 1,500 - 1,999 population",13-18,at secondary school,36
2011,Male,car,"Towns 1,500 - 1,999 population",19-66,at university,301
2011,Male,car,"Towns 1,000 - 1,499 population",15-66,working,10720
2011,Male,car,"Towns 1,000 - 1,499 population",5-12,at primary school,0
2011,Male,car,"Towns 1,000 - 1,499 population",13-18,at secondary school,68
2011,Male,car,"Towns 1,000 - 1,499 population",19-66,at university,450
2011,Male,car,Total Towns 500 - 999 population,15-66,working,13881
2011,Male,car,Total Towns 500 - 999 population,5-12,at primary school,0
2011,Male,car,Total Towns 500 - 999 population,13-18,at secondary school,92
2011,Male,car,Total Towns 500 - 999 population,19-66,at university,626
2011,Male,car,Towns under 500 population but with at least 50 inhabited houses,15-66,working,12783
2011,Male,car,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,0
2011,Male,car,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,86
2011,Male,car,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,618
2011,Male,car,Remainder of country,15-66,working,155637
2011,Male,car,Remainder of country,5-12,at primary school,0
2011,Male,car,Remainder of country,13-18,at secondary school,2093
2011,Male,car,Remainder of country,19-66,at university,8912
2011,Male,carpool,Dublin City and suburbs,15-66,working,4593
2011,Male,carpool,Dublin City and suburbs,5-12,at primary school,23493
2011,Male,carpool,Dublin City and suburbs,13-18,at secondary school,7605
2011,Male,carpool,Dublin City and suburbs,19-66,at university,882
2011,Male,carpool,Cork City and suburbs,15-66,working,1414
2011,Male,carpool,Cork City and suburbs,5-12,at primary school,5861
2011,Male,carpool,Cork City and suburbs,13-18,at secondary school,3286
2011,Male,carpool,Cork City and suburbs,19-66,at university,683
2011,Male,carpool,Limerick City and suburbs,15-66,working,705
2011,Male,carpool,Limerick City and suburbs,5-12,at primary school,2298
2011,Male,carpool,Limerick City and suburbs,13-18,at secondary school,1172
2011,Male,carpool,Limerick City and suburbs,19-66,at university,246
2011,Male,carpool,Galway City and suburbs,15-66,working,555
2011,Male,carpool,Galway City and suburbs,5-12,at primary school,2153
2011,Male,carpool,Galway City and suburbs,13-18,at secondary school,907
2011,Male,carpool,Galway City and suburbs,19-66,at university,211
2011,Male,carpool,Waterford City and suburbs,15-66,working,538
2011,Male,carpool,Waterford City and suburbs,5-12,at primary school,1834
2011,Male,carpool,Waterford City and suburbs,13-18,at secondary school,881
2011,Male,carpool,Waterford City and suburbs,19-66,at university,133
2011,Male,carpool,"Towns 10,000 population and over",15-66,working,5415
2011,Male,carpool,"Towns 10,000 population and over",5-12,at primary school,24273
2011,Male,carpool,"Towns 10,000 population and over",13-18,at secondary school,9796
2011,Male,carpool,"Towns 10,000 population and over",19-66,at university,1135
2011,Male,carpool,"Towns 5,000 - 9,999 population",15-66,working,2498
2011,Male,carpool,"Towns 5,000 - 9,999 population",5-12,at primary school,9544
2011,Male,carpool,"Towns 5,000 - 9,999 population",13-18,at secondary school,3430
2011,Male,carpool,"Towns 5,000 - 9,999 population",19-66,at university,378
2011,Male,carpool,"Towns 2,000 - 4,999 population",15-66,working,1819
2011,Male,carpool,"Towns 2,000 - 4,999 population",5-12,at primary school,7039
2011,Male,carpool,"Towns 2,000 - 4,999 population",13-18,at secondary school,2525
2011,Male,carpool,"Towns 2,000 - 4,999 population",19-66,at university,330
2011,Male,carpool,"Towns 1,500 - 1,999 population",15-66,working,454
2011,Male,carpool,"Towns 1,500 - 1,999 population",5-12,at primary school,2110
2011,Male,carpool,"Towns 1,500 - 1,999 population",13-18,at secondary school,798
2011,Male,carpool,"Towns 1,500 - 1,999 population",19-66,at university,136
2011,Male,carpool,"Towns 1,000 - 1,499 population",15-66,working,602
2011,Male,carpool,"Towns 1,000 - 1,499 population",5-12,at primary school,3088
2011,Male,carpool,"Towns 1,000 - 1,499 population",13-18,at secondary school,974
2011,Male,carpool,"Towns 1,000 - 1,499 population",19-66,at university,144
2011,Male,carpool,Total Towns 500 - 999 population,15-66,working,792
2011,Male,carpool,Total Towns 500 - 999 population,5-12,at primary school,4078
2011,Male,carpool,Total Towns 500 - 999 population,13-18,at secondary school,1513
2011,Male,carpool,Total Towns 500 - 999 population,19-66,at university,215
2011,Male,carpool,Towns under 500 population but with at least 50 inhabited houses,15-66,working,657
2011,Male,carpool,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,3585
2011,Male,carpool,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,1256
2011,Male,carpool,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,200
2011,Male,carpool,Remainder of country,15-66,working,5776
2011,Male,carpool,Remainder of country,5-12,at primary school,61462
2011,Male,carpool,Remainder of country,13-18,at secondary school,27272
2011,Male,carpool,Remainder of country,19-66,at university,2803
2011,Male,truck,Dublin City and suburbs,15-66,working,13484
2011,Male,truck,Dublin City and suburbs,5-12,at primary school,65
2011,Male,truck,Dublin City and suburbs,13-18,at secondary school,28
2011,Male,truck,Dublin City and suburbs,19-66,at university,69
2011,Male,truck,Cork City and suburbs,15-66,working,3002
2011,Male,truck,Cork City and suburbs,5-12,at primary school,17
2011,Male,truck,Cork City and suburbs,13-18,at secondary school,16
2011,Male,truck,Cork City and suburbs,19-66,at university,26
2011,Male,truck,Limerick City and suburbs,15-66,working,1158
2011,Male,truck,Limerick City and suburbs,5-12,at primary school,5
2011,Male,truck,Limerick City and suburbs,13-18,at secondary school,6
2011,Male,truck,Limerick City and suburbs,19-66,at university,16
2011,Male,truck,Galway City and suburbs,15-66,working,983
2011,Male,truck,Galway City and suburbs,5-12,at primary school,6
2011,Male,truck,Galway City and suburbs,13-18,at secondary school,2
2011,Male,truck,Galway City and suburbs,19-66,at university,20
2011,Male,truck,Waterford City and suburbs,15-66,working,743
2011,Male,truck,Waterford City and suburbs,5-12,at primary school,3
2011,Male,truck,Waterford City and suburbs,13-18,at secondary school,4
2011,Male,truck,Waterford City and suburbs,19-66,at university,11
2011,Male,truck,"Towns 10,000 population and over",15-66,working,13212
2011,Male,truck,"Towns 10,000 population and over",5-12,at primary school,88
2011,Male,truck,"Towns 10,000 population and over",13-18,at secondary school,55
2011,Male,truck,"Towns 10,000 population and over",19-66,at university,116
2011,Male,truck,"Towns 5,000 - 9,999 population",15-66,working,6102
2011,Male,truck,"Towns 5,000 - 9,999 population",5-12,at primary school,27
2011,Male,truck,"Towns 5,000 - 9,999 population",13-18,at secondary school,17
2011,Male,truck,"Towns 5,000 - 9,999 population",19-66,at university,53
2011,Male,truck,"Towns 2,000 - 4,999 population",15-66,working,5616
2011,Male,truck,"Towns 2,000 - 4,999 population",5-12,at primary school,22
2011,Male,truck,"Towns 2,000 - 4,999 population",13-18,at secondary school,26
2011,Male,truck,"Towns 2,000 - 4,999 population",19-66,at university,57
2011,Male,truck,"Towns 1,500 - 1,999 population",15-66,working,1605
2011,Male,truck,"Towns 1,500 - 1,999 population",5-12,at primary school,10
2011,Male,truck,"Towns 1,500 - 1,999 population",13-18,at secondary school,2
2011,Male,truck,"Towns 1,500 - 1,999 population",19-66,at university,15
2011,Male,truck,"Towns 1,000 - 1,499 population",15-66,working,2500
2011,Male,truck,"Towns 1,000 - 1,499 population",5-12,at primary school,10
2011,Male,truck,"Towns 1,000 - 1,499 population",13-18,at secondary school,5
2011,Male,truck,"Towns 1,000 - 1,499 population",19-66,at university,28
2011,Male,truck,Total Towns 500 - 999 population,15-66,working,3455
2011,Male,truck,Total Towns 500 - 999 population,5-12,at primary school,15
2011,Male,truck,Total Towns 500 - 999 population,13-18,at secondary school,11
2011,Male,truck,Total Towns 500 - 999 population,19-66,at university,37
2011,Male,truck,Towns under 500 population but with at least 50 inhabited houses,15-66,working,3632
2011,Male,truck,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,12
2011,Male,truck,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,5
2011,Male,truck,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,34
2011,Male,truck,Remainder of country,15-66,working,58030
2011,Male,truck,Remainder of country,5-12,at primary school,219
2011,Male,truck,Remainder of country,13-18,at secondary school,262
2011,Male,truck,Remainder of country,19-66,at university,555
2011,Male,truck,Dublin City and suburbs,15-66,working,854
2011,Male,truck,Dublin City and suburbs,5-12,at primary school,17
2011,Male,truck,Dublin City and suburbs,13-18,at secondary school,8
2011,Male,truck,Dublin City and suburbs,19-66,at university,6
2011,Male,truck,Cork City and suburbs,15-66,working,284
2011,Male,truck,Cork City and suburbs,5-12,at primary school,2
