"Statistic","CensusYear","Sex","Means of Travel","Aggregate Town Size","At Work School or College","UNIT","VALUE"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Limerick City and suburbs","Population aged 15 years and over at work","Number","737"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Limerick City and suburbs","Children at school aged between 5 and 12 years","Number","63"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Limerick City and suburbs","Students at school or college aged between 13 and 18 years","Number","185"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Limerick City and suburbs","Students at school or college aged 19 years and over","Number","302"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Galway City and suburbs","All persons","Number","2268"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Galway City and suburbs","Population aged 15 years and over at work","Number","1398"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Galway City and suburbs","Children at school aged between 5 and 12 years","Number","101"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Galway City and suburbs","Students at school or college aged between 13 and 18 years","Number","154"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Galway City and suburbs","Students at school or college aged 19 years and over","Number","615"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Waterford City and suburbs","All persons","Number","481"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Waterford City and suburbs","Population aged 15 years and over at work","Number","357"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Waterford City and suburbs","Children at school aged between 5 and 12 years","Number","12"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Waterford City and suburbs","Students at school or college aged between 13 and 18 years","Number","21"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Waterford City and suburbs","Students at school or college aged 19 years and over","Number","91"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 10,000 population and over","All persons","Number","7765"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 10,000 population and over","Population aged 15 years and over at work","Number","4765"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 10,000 population and over","Children at school aged between 5 and 12 years","Number","1217"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 10,000 population and over","Students at school or college aged between 13 and 18 years","Number","1121"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 10,000 population and over","Students at school or college aged 19 years and over","Number","662"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 5,000 - 9,999 population","All persons","Number","2310"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 5,000 - 9,999 population","Population aged 15 years and over at work","Number","1305"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 5,000 - 9,999 population","Children at school aged between 5 and 12 years","Number","612"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 5,000 - 9,999 population","Students at school or college aged between 13 and 18 years","Number","273"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 5,000 - 9,999 population","Students at school or college aged 19 years and over","Number","120"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 2,000 - 4,999 population","All persons","Number","1189"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 2,000 - 4,999 population","Population aged 15 years and over at work","Number","756"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 2,000 - 4,999 population","Children at school aged between 5 and 12 years","Number","248"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 2,000 - 4,999 population","Students at school or college aged between 13 and 18 years","Number","82"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 2,000 - 4,999 population","Students at school or college aged 19 years and over","Number","103"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 1,500 - 1,999 population","All persons","Number","299"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 1,500 - 1,999 population","Population aged 15 years and over at work","Number","175"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 1,500 - 1,999 population","Children at school aged between 5 and 12 years","Number","79"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 1,500 - 1,999 population","Students at school or college aged between 13 and 18 years","Number","16"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 1,500 - 1,999 population","Students at school or college aged 19 years and over","Number","29"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 1,000 - 1,499 population","All persons","Number","397"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 1,000 - 1,499 population","Population aged 15 years and over at work","Number","228"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 1,000 - 1,499 population","Children at school aged between 5 and 12 years","Number","114"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 1,000 - 1,499 population","Students at school or college aged between 13 and 18 years","Number","29"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns 1,000 - 1,499 population","Students at school or college aged 19 years and over","Number","26"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Total Towns 500 - 999 population","All persons","Number","448"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Total Towns 500 - 999 population","Population aged 15 years and over at work","Number","223"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Total Towns 500 - 999 population","Children at school aged between 5 and 12 years","Number","150"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Total Towns 500 - 999 population","Students at school or college aged between 13 and 18 years","Number","28"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Total Towns 500 - 999 population","Students at school or college aged 19 years and over","Number","47"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns under 500 population but with at least 50 inhabited houses","All persons","Number","443"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns under 500 population but with at least 50 inhabited houses","Population aged 15 years and over at work","Number","219"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns under 500 population but with at least 50 inhabited houses","Children at school aged between 5 and 12 years","Number","143"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged between 13 and 18 years","Number","21"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged 19 years and over","Number","60"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Remainder of country","All persons","Number","4526"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Remainder of country","Population aged 15 years and over at work","Number","2252"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Remainder of country","Children at school aged between 5 and 12 years","Number","909"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Remainder of country","Students at school or college aged between 13 and 18 years","Number","352"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bicycle","Remainder of country","Students at school or college aged 19 years and over","Number","1013"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","State","All persons","Number","288562"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","State","Population aged 15 years and over at work","Number","91676"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","State","Children at school aged between 5 and 12 years","Number","60263"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","State","Students at school or college aged between 13 and 18 years","Number","96153"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","State","Students at school or college aged 19 years and over","Number","40470"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Dublin City and suburbs","All persons","Number","101625"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Dublin City and suburbs","Population aged 15 years and over at work","Number","60164"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Dublin City and suburbs","Children at school aged between 5 and 12 years","Number","6031"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Dublin City and suburbs","Students at school or college aged between 13 and 18 years","Number","15884"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Dublin City and suburbs","Students at school or college aged 19 years and over","Number","19546"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Cork City and suburbs","All persons","Number","9340"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Cork City and suburbs","Population aged 15 years and over at work","Number","4723"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Cork City and suburbs","Children at school aged between 5 and 12 years","Number","698"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Cork City and suburbs","Students at school or college aged between 13 and 18 years","Number","2091"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Cork City and suburbs","Students at school or college aged 19 years and over","Number","1828"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Limerick City and suburbs","All persons","Number","3397"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Limerick City and suburbs","Population aged 15 years and over at work","Number","1273"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Limerick City and suburbs","Children at school aged between 5 and 12 years","Number","353"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Limerick City and suburbs","Students at school or college aged between 13 and 18 years","Number","1061"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Limerick City and suburbs","Students at school or college aged 19 years and over","Number","710"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Galway City and suburbs","All persons","Number","3891"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Galway City and suburbs","Population aged 15 years and over at work","Number","1708"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Galway City and suburbs","Children at school aged between 5 and 12 years","Number","398"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Galway City and suburbs","Students at school or college aged between 13 and 18 years","Number","1107"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Galway City and suburbs","Students at school or college aged 19 years and over","Number","678"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Waterford City and suburbs","All persons","Number","1367"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Waterford City and suburbs","Population aged 15 years and over at work","Number","471"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Waterford City and suburbs","Children at school aged between 5 and 12 years","Number","278"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Waterford City and suburbs","Students at school or college aged between 13 and 18 years","Number","382"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Waterford City and suburbs","Students at school or college aged 19 years and over","Number","236"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 10,000 population and over","All persons","Number","31056"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 10,000 population and over","Population aged 15 years and over at work","Number","11217"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 10,000 population and over","Children at school aged between 5 and 12 years","Number","6879"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 10,000 population and over","Students at school or college aged between 13 and 18 years","Number","6961"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 10,000 population and over","Students at school or college aged 19 years and over","Number","5999"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 5,000 - 9,999 population","All persons","Number","10551"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 5,000 - 9,999 population","Population aged 15 years and over at work","Number","3319"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 5,000 - 9,999 population","Children at school aged between 5 and 12 years","Number","2711"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 5,000 - 9,999 population","Students at school or college aged between 13 and 18 years","Number","2624"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 5,000 - 9,999 population","Students at school or college aged 19 years and over","Number","1897"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 2,000 - 4,999 population","All persons","Number","7434"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 2,000 - 4,999 population","Population aged 15 years and over at work","Number","1882"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 2,000 - 4,999 population","Children at school aged between 5 and 12 years","Number","1844"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 2,000 - 4,999 population","Students at school or college aged between 13 and 18 years","Number","2429"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 2,000 - 4,999 population","Students at school or college aged 19 years and over","Number","1279"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 1,500 - 1,999 population","All persons","Number","2529"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 1,500 - 1,999 population","Population aged 15 years and over at work","Number","365"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 1,500 - 1,999 population","Children at school aged between 5 and 12 years","Number","417"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 1,500 - 1,999 population","Students at school or college aged between 13 and 18 years","Number","1453"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 1,500 - 1,999 population","Students at school or college aged 19 years and over","Number","294"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Bus, minibus or coach","Towns 1,000 - 1,499 population","All persons","Number","3708"
