"Statistic","CensusYear","Sex","Means of Travel","At Work School or College","UNIT","VALUE"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Bicycle","Students at school or college aged 19 years and over","Number","7290"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Bus, minibus or coach","All persons","Number","152244"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","41878"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","52928"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","52597"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","4841"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Train, DART or LUAS","All persons","Number","12892"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","9492"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","325"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","1660"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","1415"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Motorcycle or scooter","All persons","Number","13643"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Motorcycle or scooter","Population aged 15 years and over at work","Number","12827"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","241"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","575"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Motor car: Driver","All persons","Number","310164"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Motor car: Driver","Population aged 15 years and over at work","Number","308726"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","208"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Motor car: Driver","Students at school or college aged 19 years and over","Number","1230"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Motor car: Passenger","All persons","Number","119094"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Motor car: Passenger","Population aged 15 years and over at work","Number","34726"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","66293"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","16044"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Motor car: Passenger","Students at school or college aged 19 years and over","Number","2031"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Other means (incl. lorry or van)","All persons","Number","32630"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","31142"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","898"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","426"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","164"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Work mainly at or from home","All persons","Number","166472"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Work mainly at or from home","Population aged 15 years and over at work","Number","159914"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Work mainly at or from home","Children at school aged between 5 and 12 years","Number","507"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Work mainly at or from home","Students at school or college aged between 13 and 18 years","Number","5190"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Work mainly at or from home","Students at school or college aged 19 years and over","Number","861"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Not stated","All persons","Number","59424"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Not stated","Population aged 15 years and over at work","Number","28409"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Not stated","Children at school aged between 5 and 12 years","Number","20344"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Not stated","Students at school or college aged between 13 and 18 years","Number","9296"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","Not stated","Students at school or college aged 19 years and over","Number","1375"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","All means of travel","All persons","Number","1215757"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","All means of travel","Population aged 15 years and over at work","Number","736499"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","All means of travel","Children at school aged between 5 and 12 years","Number","285775"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","All means of travel","Students at school or college aged between 13 and 18 years","Number","167769"
"Population Usually Resident in the State at Each Census Since 1986","1986","Male","All means of travel","Students at school or college aged 19 years and over","Number","25714"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","On foot","All persons","Number","249124"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","On foot","Population aged 15 years and over at work","Number","66084"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","On foot","Children at school aged between 5 and 12 years","Number","121974"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","On foot","Students at school or college aged between 13 and 18 years","Number","54707"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","On foot","Students at school or college aged 19 years and over","Number","6359"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Bicycle","All persons","Number","54174"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Bicycle","Population aged 15 years and over at work","Number","21281"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Bicycle","Children at school aged between 5 and 12 years","Number","9128"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Bicycle","Students at school or college aged between 13 and 18 years","Number","19126"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Bicycle","Students at school or college aged 19 years and over","Number","4639"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Bus, minibus or coach","All persons","Number","171670"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Bus, minibus or coach","Population aged 15 years and over at work","Number","51458"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","52317"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","62230"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","5665"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Train, DART or LUAS","All persons","Number","9798"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Train, DART or LUAS","Population aged 15 years and over at work","Number","6604"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","311"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","1748"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","1135"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Motorcycle or scooter","All persons","Number","3037"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Motorcycle or scooter","Population aged 15 years and over at work","Number","2787"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","59"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","191"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Motor car: Driver","All persons","Number","95016"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Motor car: Driver","Population aged 15 years and over at work","Number","94152"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","165"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Motor car: Driver","Students at school or college aged 19 years and over","Number","699"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Motor car: Passenger","All persons","Number","145031"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Motor car: Passenger","Population aged 15 years and over at work","Number","55105"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","67331"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","20622"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Motor car: Passenger","Students at school or college aged 19 years and over","Number","1973"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Other means (incl. lorry or van)","All persons","Number","3609"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","2212"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","914"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","403"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","80"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Work mainly at or from home","All persons","Number","30510"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Work mainly at or from home","Population aged 15 years and over at work","Number","26942"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Work mainly at or from home","Children at school aged between 5 and 12 years","Number","431"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Work mainly at or from home","Students at school or college aged between 13 and 18 years","Number","2740"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Work mainly at or from home","Students at school or college aged 19 years and over","Number","397"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Not stated","All persons","Number","49155"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Not stated","Population aged 15 years and over at work","Number","20523"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Not stated","Children at school aged between 5 and 12 years","Number","19095"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Not stated","Students at school or college aged between 13 and 18 years","Number","8522"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","Not stated","Students at school or college aged 19 years and over","Number","1015"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","All means of travel","All persons","Number","811124"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","All means of travel","Population aged 15 years and over at work","Number","347148"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","All means of travel","Children at school aged between 5 and 12 years","Number","271501"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","All means of travel","Students at school or college aged between 13 and 18 years","Number","170322"
"Population Usually Resident in the State at Each Census Since 1986","1986","Female","All means of travel","Students at school or college aged 19 years and over","Number","22153"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","On foot","All persons","Number","454126"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","On foot","Population aged 15 years and over at work","Number","126158"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","On foot","Children at school aged between 5 and 12 years","Number","209067"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","On foot","Students at school or college aged between 13 and 18 years","Number","99751"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","On foot","Students at school or college aged 19 years and over","Number","19150"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Bicycle","All persons","Number","130194"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Bicycle","Population aged 15 years and over at work","Number","50257"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","22407"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","45632"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","11898"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Bus, minibus or coach","All persons","Number","337788"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","87377"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","109745"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","124135"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","16531"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Train, DART or LUAS","All persons","Number","30214"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","19834"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","735"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","4825"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","4820"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Motorcycle or scooter","All persons","Number","13756"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","12713"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","354"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","689"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Motor car: Driver","All persons","Number","446228"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","442293"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","676"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","3259"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Motor car: Passenger","All persons","Number","292503"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","90999"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","147036"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","49082"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","5386"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Other means (incl. lorry or van)","All persons","Number","50188"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","45903"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","2666"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","1242"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","377"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Work mainly at or from home","All persons","Number","234101"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Work mainly at or from home","Population aged 15 years and over at work","Number","225236"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Work mainly at or from home","Children at school aged between 5 and 12 years","Number","1152"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Work mainly at or from home","Students at school or college aged between 13 and 18 years","Number","6159"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Work mainly at or from home","Students at school or college aged 19 years and over","Number","1554"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Not stated","All persons","Number","94287"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Not stated","Population aged 15 years and over at work","Number","36687"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Not stated","Children at school aged between 5 and 12 years","Number","37797"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Not stated","Students at school or college aged between 13 and 18 years","Number","17066"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","Not stated","Students at school or college aged 19 years and over","Number","2737"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","All means of travel","All persons","Number","2083385"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","All means of travel","Population aged 15 years and over at work","Number","1137457"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","All means of travel","Children at school aged between 5 and 12 years","Number","530605"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","All means of travel","Students at school or college aged between 13 and 18 years","Number","348922"
"Population Usually Resident in the State at Each Census Since 1986","1991","Both sexes","All means of travel","Students at school or college aged 19 years and over","Number","66401"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","On foot","All persons","Number","222003"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","On foot","Population aged 15 years and over at work","Number","58989"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","On foot","Children at school aged between 5 and 12 years","Number","107125"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","On foot","Students at school or college aged between 13 and 18 years","Number","46865"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","On foot","Students at school or college aged 19 years and over","Number","9024"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Bicycle","All persons","Number","87012"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Bicycle","Population aged 15 years and over at work","Number","34337"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Bicycle","Children at school aged between 5 and 12 years","Number","14203"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Bicycle","Students at school or college aged between 13 and 18 years","Number","30860"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Bicycle","Students at school or college aged 19 years and over","Number","7612"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Bus, minibus or coach","All persons","Number","156324"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","35824"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","55474"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","57146"
"Population Usually Resident in the State at Each Census Since 1986","1991","Male","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","7880"
