"Statistic","CensusYear","Sex","County of Usual Residence","Travelling Time","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","½ hour - < ¾ hour","All persons","Number","463182"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","352362"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","23176"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","48459"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","39185"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","¾ hour - < 1 hour","All persons","Number","152894"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","123298"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","3504"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","10126"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","15966"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","1 hour - < 1½ hours","All persons","Number","140545"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","112701"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","2294"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","6839"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","18711"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","1½ hours and over","All persons","Number","51038"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","1½ hours and over","Population aged 15 years and over at work","Number","39764"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","1½ hours and over","Children at school aged between 5 and 12 years","Number","693"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","1997"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","1½ hours and over","Students at school or college aged 19 years and over","Number","8584"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","Not stated","All persons","Number","167550"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","Not stated","Population aged 15 years and over at work","Number","118828"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","Not stated","Children at school aged between 5 and 12 years","Number","25131"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","Not stated","Students at school or college aged between 13 and 18 years","Number","12435"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","State","Not stated","Students at school or college aged 19 years and over","Number","11156"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","Total time travelling","All persons","Number","30705"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","Total time travelling","Population aged 15 years and over at work","Number","18180"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","Total time travelling","Children at school aged between 5 and 12 years","Number","6395"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","Total time travelling","Students at school or college aged between 13 and 18 years","Number","3807"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","Total time travelling","Students at school or college aged 19 years and over","Number","2323"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","< ¼ hour","All persons","Number","12782"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","< ¼ hour","Population aged 15 years and over at work","Number","5837"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","< ¼ hour","Children at school aged between 5 and 12 years","Number","4418"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","1692"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","< ¼ hour","Students at school or college aged 19 years and over","Number","835"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","¼ hour - < ½ hour","All persons","Number","8298"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","4858"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","1269"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","1401"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","770"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","½ hour - < ¾ hour","All persons","Number","3667"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","2733"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","243"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","404"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","287"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","¾ hour - < 1 hour","All persons","Number","1269"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","1104"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","36"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","68"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","61"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","1 hour - < 1½ hours","All persons","Number","1632"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","1464"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","25"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","45"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","98"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","1½ hours and over","All persons","Number","928"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","1½ hours and over","Population aged 15 years and over at work","Number","789"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","1½ hours and over","Children at school aged between 5 and 12 years","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","19"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","1½ hours and over","Students at school or college aged 19 years and over","Number","114"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","Not stated","All persons","Number","2129"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","Not stated","Population aged 15 years and over at work","Number","1395"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","Not stated","Children at school aged between 5 and 12 years","Number","398"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","Not stated","Students at school or college aged between 13 and 18 years","Number","178"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Carlow","Not stated","Students at school or college aged 19 years and over","Number","158"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","Total time travelling","All persons","Number","313889"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","Total time travelling","Population aged 15 years and over at work","Number","215384"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","Total time travelling","Children at school aged between 5 and 12 years","Number","39321"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","Total time travelling","Students at school or college aged between 13 and 18 years","Number","27747"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","Total time travelling","Students at school or college aged 19 years and over","Number","31437"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","< ¼ hour","All persons","Number","69374"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","< ¼ hour","Population aged 15 years and over at work","Number","34770"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","< ¼ hour","Children at school aged between 5 and 12 years","Number","20951"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","8509"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","< ¼ hour","Students at school or college aged 19 years and over","Number","5144"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","¼ hour - < ½ hour","All persons","Number","110784"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","75667"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","12755"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","11925"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","10437"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","½ hour - < ¾ hour","All persons","Number","72781"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","57683"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","2429"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","4447"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","8222"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","¾ hour - < 1 hour","All persons","Number","20942"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","17420"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","313"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","786"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","2423"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","1 hour - < 1½ hours","All persons","Number","14505"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","11337"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","228"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","502"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","2438"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","1½ hours and over","All persons","Number","3103"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","1½ hours and over","Population aged 15 years and over at work","Number","2226"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","1½ hours and over","Children at school aged between 5 and 12 years","Number","44"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","131"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","1½ hours and over","Students at school or college aged 19 years and over","Number","702"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","Not stated","All persons","Number","22400"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","Not stated","Population aged 15 years and over at work","Number","16281"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","Not stated","Children at school aged between 5 and 12 years","Number","2601"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","Not stated","Students at school or college aged between 13 and 18 years","Number","1447"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dublin City","Not stated","Students at school or college aged 19 years and over","Number","2071"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","Total time travelling","All persons","Number","128881"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","Total time travelling","Population aged 15 years and over at work","Number","82958"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","Total time travelling","Children at school aged between 5 and 12 years","Number","19109"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","Total time travelling","Students at school or college aged between 13 and 18 years","Number","14326"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","Total time travelling","Students at school or college aged 19 years and over","Number","12488"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","< ¼ hour","All persons","Number","29932"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","< ¼ hour","Population aged 15 years and over at work","Number","13261"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","< ¼ hour","Children at school aged between 5 and 12 years","Number","10594"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","4121"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","< ¼ hour","Students at school or college aged 19 years and over","Number","1956"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","¼ hour - < ½ hour","All persons","Number","42996"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","27036"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","6177"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","6006"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","3777"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","½ hour - < ¾ hour","All persons","Number","31410"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","23656"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","1348"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","2883"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","3523"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","¾ hour - < 1 hour","All persons","Number","11169"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","8992"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","195"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","592"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","1390"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","1 hour - < 1½ hours","All persons","Number","6901"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","5368"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","100"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","264"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","1169"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","1½ hours and over","All persons","Number","1022"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","1½ hours and over","Population aged 15 years and over at work","Number","743"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","1½ hours and over","Children at school aged between 5 and 12 years","Number","18"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","40"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","1½ hours and over","Students at school or college aged 19 years and over","Number","221"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","Not stated","All persons","Number","5451"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","Not stated","Population aged 15 years and over at work","Number","3902"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","Not stated","Children at school aged between 5 and 12 years","Number","677"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","Not stated","Students at school or college aged between 13 and 18 years","Number","420"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Dún Laoghaire-Rathdown","Not stated","Students at school or college aged 19 years and over","Number","452"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","Total time travelling","All persons","Number","176277"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","Total time travelling","Population aged 15 years and over at work","Number","115305"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","Total time travelling","Children at school aged between 5 and 12 years","Number","32916"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","Total time travelling","Students at school or college aged between 13 and 18 years","Number","17869"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","Total time travelling","Students at school or college aged 19 years and over","Number","10187"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","< ¼ hour","All persons","Number","44676"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","< ¼ hour","Population aged 15 years and over at work","Number","18349"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","< ¼ hour","Children at school aged between 5 and 12 years","Number","19388"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","6407"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","< ¼ hour","Students at school or college aged 19 years and over","Number","532"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","¼ hour - < ½ hour","All persons","Number","47284"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","30797"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","8828"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","6137"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","1522"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","½ hour - < ¾ hour","All persons","Number","37209"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","30107"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","1842"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","2648"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","2612"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","¾ hour - < 1 hour","All persons","Number","16381"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","13430"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","355"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","870"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","1726"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","1 hour - < 1½ hours","All persons","Number","16129"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","12881"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","285"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","768"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","2195"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","1½ hours and over","All persons","Number","3997"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","1½ hours and over","Population aged 15 years and over at work","Number","2712"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","1½ hours and over","Children at school aged between 5 and 12 years","Number","92"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","264"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","1½ hours and over","Students at school or college aged 19 years and over","Number","929"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","Not stated","All persons","Number","10601"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","Not stated","Population aged 15 years and over at work","Number","7029"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","Not stated","Children at school aged between 5 and 12 years","Number","2126"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Both sexes","Fingal","Not stated","Students at school or college aged between 13 and 18 years","Number","775"
