"id" "sex" "age" "marital" "child" "educ" "source" "smoke" "smokenum" "op1" "op2" "op3" "op4" "op5" "op6" "mast1" "mast2" "mast3" "mast4" "mast5" "mast6" "mast7" "pn1" "pn2" "pn3" "pn4" "pn5" "pn6" "pn7" "pn8" "pn9" "pn10" "pn11" "pn12" "pn13" "pn14" "pn15" "pn16" "pn17" "pn18" "pn19" "pn20" "lifsat1" "lifsat2" "lifsat3" "lifsat4" "lifsat5" "pss1" "pss2" "pss3" "pss4" "pss5" "pss6" "pss7" "pss8" "pss9" "pss10" "sest1" "sest2" "sest3" "sest4" "sest5" "sest6" "sest7" "sest8" "sest9" "sest10" "m1" "m2" "m3" "m4" "m5" "m6" "m7" "m8" "m9" "m10" "pc1" "pc2" "pc3" "pc4" "pc5" "pc6" "pc7" "pc8" "pc9" "pc10" "pc11" "pc12" "pc13" "pc14" "pc15" "pc16" "pc17" "pc18" "rop2" "rop4" "rop6" "rmast1" "rmast3" "rmast4" "rmast6" "rmast7" "rpss4" "rpss5" "rpss7" "rpss8" "rsest3" "rsest5" "rsest7" "rsest9" "rsest10" "rpc1" "rpc2" "rpc7" "rpc11" "rpc15" "rpc16" "toptim" "tmast" "tposaff" "tnegaff" "tlifesat" "tpstress" "tslfest" "tmarlow" "tpcoiss" "agegp3" "agegp5" "educrec" "lg10negaff" "mah_1" "coo_1" "mah_2"
"11" 138 "MALES" 27 "SINGLE" "NO" "COMPLETED HIGHSCHOOL" "WORK" "YES" 100 5 1 5 1 5 1 1 4 1 1 4 1 4 4 4 3 4 2 5 4 4 5 2 3 3 4 2 4 4 4 4 5 4 5 5 5 5 3 2 2 5 5 4 2 4 3 1 3 4 4 1 4 1 3 3 3 1 2 1 0 1 0 0 0 0 0 0 0 4 2 2 3 5 1 5 2 3 3 5 5 2 1 2 4 2 5 5 5 5 4 4 4 4 1 1 2 2 3 4 4 2 4 3 2 4 1 1 4 2 30 25 41 33 23 23 35 2 48 "18 - 29" "25 - 32" "completed high school" 1.51851393987789 3.66105141694082 0.00314147387653945 11.1368655542926
"12" 184 "FEMALES" 34 "MARRIED FIRST TIME" "YES" "COMPLETED UNDERGRADUATE" "FAMILY" "NO" 0 4 1 4 1 5 1 1 4 1 1 4 3 1 4 5 3 4 1 4 3 4 3 1 4 4 4 2 3 1 5 3 2 2 6 7 6 7 5 2 1 2 5 5 2 4 4 1 2 4 4 1 1 1 4 1 4 1 1 0 1 1 0 1 0 1 1 0 1 3 4 2 4 5 3 3 1 2 2 5 3 2 2 4 4 2 2 5 5 5 4 4 4 2 4 1 1 2 2 4 4 4 4 4 3 2 3 1 2 2 28 26 37 25 31 16 37 6 43 "30 - 44" "33 - 40" "completed undergrad uni" 1.39794000867204 6.77126396686263 0.0431995275193601 11.0069094415789
"13" 183 "MALES" 35 "SINGLE" "NO" "SOME ADDITIONAL TRAINING" "LIFE IN GENERAL" "NO" 0 2 4 5 5 2 2 3 4 3 3 2 3 2 2 2 3 1 2 1 1 2 1 1 3 1 1 2 1 1 1 1 2 2 1 1 1 1 1 3 5 4 3 3 3 3 3 4 3 2 3 2 2 2 1 3 3 3 3 0 0 1 1 1 0 1 1 0 0 3 2 3 4 3 2 4 2 4 3 4 1 4 2 2 2 2 3 2 1 4 2 2 2 2 3 3 3 3 3 3 3 2 2 2 3 4 2 2 4 4 16 17 11 20 5 34 23 5 52 "30 - 44" "33 - 40" "some additional training" 1.30102999566398 1.45248639408866 0.000823048631356436 10.863432644693
"14" 144 "FEMALES" 43 "MARRIED FIRST TIME" "YES" "SOME SECONDARY" "SPOUSE OR PARTNER" "NO" NA 4 3 3 3 4 3 3 4 2 2 4 4 4 3 5 1 1 5 5 1 4 1 5 5 1 1 1 1 5 1 1 5 5 1 1 2 2 2 4 4 4 2 1 5 1 1 1 5 4 4 1 1 1 3 4 3 3 4 0 1 1 1 0 0 0 0 0 0 3 5 1 1 1 1 5 3 1 3 3 1 4 1 5 5 1 1 3 3 3 2 3 3 1 1 4 5 5 5 4 4 1 2 1 3 1 1 3 1 1 20 18 16 39 8 42 27 3 29 "30 - 44" "41 - 49" "did not complete high school" 1.61278385671974 7.21156810827418 0.0199133782131563 10.7093941172121
"15" 57 "MALES" 50 "MARRIED FIRST TIME" "YES" "SOME ADDITIONAL TRAINING" "WORK" "NO" 0 4 3 1 4 4 3 2 4 2 2 3 2 3 1 1 1 3 1 5 3 3 3 1 5 1 1 1 1 1 1 1 1 1 5 5 5 6 6 3 2 3 5 4 1 5 5 3 2 4 4 1 4 1 3 1 3 1 1 0 1 1 0 0 0 1 1 0 1 3 4 5 3 4 2 1 4 3 4 1 3 4 3 1 2 3 3 3 2 3 3 3 3 3 2 1 2 1 1 4 4 4 4 4 3 2 5 5 5 4 17 21 20 16 27 19 38 5 65 "45+" "50+" "some additional training" 1.20411998265592 0.333857295168029 0.00318284391206705 9.65061804425171
"16" 491 "MALES" 57 "MARRIED FIRST TIME" "NO" "SOME ADDITIONAL TRAINING" "HEALTH/ILLNESS" "YES" 200 1 3 5 3 1 5 4 4 1 3 2 4 4 3 3 5 1 5 5 2 4 3 1 3 1 3 5 1 4 3 3 5 2 1 1 1 3 1 3 4 4 2 5 3 4 5 3 5 1 4 2 4 2 2 4 1 2 2 1 1 1 0 0 0 0 0 0 0 5 3 4 2 1 2 3 2 3 4 1 4 2 4 2 2 4 5 3 3 1 1 4 2 1 1 4 1 2 1 3 3 1 3 3 1 3 3 5 4 4 14 15 25 37 7 30 25 3 57 "45+" "50+" "some additional training" 1.56820172406699 3.37207946006948 0.000485798576482285 9.55624249909229
"17" 41 "FEMALES" 37 "SEPARATED" "YES" "COMPLETED HIGHSCHOOL" "WORK" "NO" 0 3 3 3 2 3 3 3 3 1 1 4 2 2 3 5 3 1 5 3 3 4 1 5 5 1 2 2 1 5 2 2 4 5 2 2 2 6 2 5 5 5 2 3 2 3 3 5 5 2 2 3 2 2 1 4 1 3 3 1 1 1 1 1 0 0 1 0 0 4 3 2 2 1 2 3 2 2 3 4 2 2 2 5 4 2 3 3 4 3 2 4 4 3 3 4 3 3 3 2 3 1 2 2 2 3 3 2 1 2 19 23 19 39 14 40 18 6 38 "30 - 44" "33 - 40" "completed high school" 1.63346845557959 5.86200881489354 0.0308948504714126 9.23422256958016
"18" 6 "FEMALES" 41 "DIVORCED" "YES" "POSTGRADUATE COMPLETED" "WORK" "NO" 0 4 3 4 2 4 4 3 4 4 4 2 2 2 3 4 1 2 2 4 2 2 3 4 4 1 2 1 1 2 3 2 2 2 5 4 5 5 2 4 4 4 3 2 5 2 2 5 5 4 4 1 4 1 3 3 4 3 1 0 0 1 1 0 0 1 0 0 1 2 3 5 4 5 2 3 4 4 4 3 3 4 3 2 2 3 4 3 4 2 2 1 1 3 3 3 4 4 4 4 4 2 2 4 4 3 3 3 4 4 21 16 23 24 21 42 35 4 66 "30 - 44" "41 - 49" "completed postgrad uni" 1.38021124171161 4.09817556938257 0.0356562765871801 9.21561356142105
"19" 157 "FEMALES" 19 "SINGLE" "NO" "COMPLETED HIGHSCHOOL" "LIFE IN GENERAL" "NO" 0 4 4 4 4 2 3 3 2 3 3 4 4 4 2 5 5 3 4 2 3 2 1 1 3 2 2 5 3 3 2 2 5 3 3 1 2 1 2 5 5 5 3 2 5 3 2 5 5 4 4 4 3 3 2 4 2 4 4 0 1 1 0 0 0 0 1 0 0 4 5 2 2 3 4 5 2 3 3 3 3 1 1 5 5 1 3 2 2 3 2 2 2 1 1 3 4 3 4 1 2 1 1 1 2 1 1 3 1 1 17 14 22 36 9 44 21 3 37 "18 - 29" "18 - 24" "completed high school" 1.55630250076729 5.0710136625097 0.0183584882961445 9.04580668892445
"20" 287 "FEMALES" 25 "SINGLE" "NO" "COMPLETED UNDERGRADUATE" "WORK" "NO" 0 4 2 3 1 5 1 1 4 1 3 4 2 1 4 4 5 1 2 3 2 5 2 1 5 3 3 5 3 2 3 3 5 5 1 1 4 7 7 3 4 5 4 3 3 3 2 1 5 4 4 1 3 1 3 1 4 3 1 1 1 1 1 1 0 1 1 1 1 3 4 2 3 5 3 5 4 4 3 1 5 4 3 2 1 5 5 4 5 5 4 4 2 3 4 2 3 3 4 4 4 4 2 4 3 2 1 5 4 5 26 25 27 39 20 33 36 9 66 "18 - 29" "25 - 32" "completed undergrad uni" 1.5910646070265 0.665424219368921 0.00614385342243156 9.03069324332308
"21" 53 "MALES" 23 "SINGLE" "NO" "COMPLETED HIGHSCHOOL" "WORK" "NO" NA 4 5 3 4 2 4 3 3 2 3 3 1 2 4 2 2 2 3 5 1 2 2 2 2 2 1 2 3 2 1 1 1 1 4 4 2 2 5 3 3 4 2 2 4 3 2 5 5 3 3 2 2 3 2 2 3 2 1 0 0 0 0 0 0 0 0 1 0 1 5 3 2 3 2 4 1 3 3 4 3 2 2 4 4 2 1 1 2 2 2 3 2 4 3 4 4 3 4 3 2 3 3 4 5 1 2 2 2 2 14 20 22 19 17 39 28 1 41 "18 - 29" "18 - 24" "completed high school" 1.27875360095283 2.91003403684638 0.0102046109294088 8.96610304411742
"22" 330 "FEMALES" 53 "MARRIED FIRST TIME" "NO" "SOME SECONDARY" "HEALTH/ILLNESS" "NO" 0 3 5 5 5 2 5 4 2 4 4 4 4 4 2 5 1 1 1 4 1 5 1 5 5 1 2 2 1 1 1 3 5 5 7 6 7 2 1 5 5 5 5 1 5 3 3 5 5 4 3 4 3 4 1 4 2 3 3 1 1 1 0 0 0 1 0 0 0 5 4 2 5 5 5 5 5 4 4 5 3 5 5 5 5 5 5 1 1 1 1 1 1 1 1 1 5 3 3 1 1 1 2 2 1 2 1 1 1 1 13 11 17 35 23 42 20 4 60 "45+" "50+" "did not complete high school" 1.54406804435028 9.88816896080127 0.0350147673834971 8.79440798932922
"23" 379 "FEMALES" 47 "MARRIED FIRST TIME" "YES" "SOME ADDITIONAL TRAINING" "WORK" "NO" 0 5 4 5 2 5 2 2 3 3 3 4 3 1 5 3 3 4 3 5 5 4 5 4 4 5 4 3 5 3 5 3 3 2 6 6 6 7 7 5 3 4 5 3 3 3 4 3 2 4 4 1 4 1 4 3 4 1 1 1 1 1 1 1 0 0 1 0 0 2 2 5 5 5 5 2 2 4 5 1 5 4 4 3 3 3 4 2 4 4 3 2 2 2 4 1 3 3 2 4 4 2 4 4 4 4 4 5 3 3 25 20 46 32 32 29 38 6 74 "45+" "41 - 49" "some additional training" 1.50514997831991 2.68748289579789 0.00199102747593095 8.70052749451713
"24" 59 "FEMALES" 36 "SEPARATED" "YES" "SOME SECONDARY" "WORK" "NO" 0 2 4 3 4 3 4 2 3 2 2 4 2 3 5 4 4 3 4 5 3 4 3 5 3 2 2 4 2 4 2 4 4 4 3 4 4 3 6 3 3 4 3 2 3 2 3 4 3 4 4 2 3 3 3 3 3 3 2 1 1 1 1 1 0 0 1 1 0 2 4 4 2 4 3 3 2 5 4 1 3 3 3 4 4 2 3 2 2 2 3 3 3 3 2 3 4 4 3 3 2 2 2 3 4 2 3 5 2 2 14 21 31 39 20 34 29 7 56 "30 - 44" "33 - 40" "did not complete high school" 1.60205999132796 0.149052945804585 0.00177251580384276 8.37382660403436
"25" 416 "MALES" 21 "SINGLE" "NO" "COMPLETED HIGHSCHOOL" "WORK" "NO" NA 3 3 3 3 5 2 2 3 3 3 3 3 3 4 4 4 3 2 5 4 5 2 2 5 4 2 4 4 1 4 4 5 5 4 5 5 5 4 3 4 5 5 3 5 4 4 3 3 4 4 1 3 4 4 1 3 3 3 0 1 0 0 0 0 1 0 0 0 5 5 3 4 2 2 5 3 3 2 4 3 2 2 2 2 4 3 3 3 4 3 2 2 2 2 1 3 2 2 4 1 4 2 2 1 1 1 2 4 4 21 17 36 37 23 31 31 2 46 "18 - 29" "18 - 24" "completed high school" 1.56820172406699 1.92664684643397 0.000205988650326723 8.28745003222292
"26" 508 "FEMALES" 26 "LIVING WITH PARTNER" "YES" "COMPLETED UNDERGRADUATE" "WORK" "NO" 0 4 2 4 2 4 2 3 2 2 3 3 1 1 5 3 2 4 1 4 3 1 4 1 2 3 4 1 2 1 4 5 1 1 3 4 5 5 3 4 4 4 3 3 2 4 3 5 4 4 4 1 4 1 3 2 4 3 1 1 1 1 0 0 0 1 0 0 0 2 4 2 4 4 2 3 2 3 3 3 4 2 2 2 2 3 3 4 4 4 2 3 2 4 4 3 3 2 3 4 4 3 2 4 4 2 3 3 4 4 24 20 38 14 20 34 36 4 54 "18 - 29" "25 - 32" "completed undergrad uni" 1.14612803567824 0.339205435339703 0.00144851098347722 7.93884452468243
"27" 116 "FEMALES" 48 "REMARRIED" "YES" "SOME ADDITIONAL TRAINING" "WORK" "NO" 0 3 3 3 3 4 2 3 3 3 3 3 3 4 4 5 5 4 1 2 3 5 3 5 5 2 3 5 4 2 3 3 5 3 3 5 5 5 1 5 4 5 3 3 5 3 3 2 4 4 4 2 4 3 3 1 3 2 2 1 1 1 1 1 0 0 0 0 0 5 4 3 3 2 2 4 3 4 4 4 2 1 1 5 5 1 2 3 3 4 2 2 2 2 1 3 3 3 3 3 2 4 3 3 1 2 2 2 1 1 20 15 31 39 19 37 33 5 37 "45+" "41 - 49" "some additional training" 1.61278385671974 4.51562934551607 0.000875979701239314 7.85484671842739
"28" 422 "FEMALES" 24 "SINGLE" "NO" "SOME ADDITIONAL TRAINING" "WORK" "NO" NA 3 1 4 2 5 1 3 4 2 2 3 3 4 3 5 4 3 1 4 3 5 4 3 3 2 4 4 3 2 3 4 5 5 6 5 7 5 4 3 3 4 3 4 3 3 4 4 4 4 4 1 4 1 3 2 3 2 1 0 1 1 0 0 0 0 0 0 0 3 3 3 4 4 5 3 3 3 4 3 4 2 3 2 2 4 4 5 4 5 2 3 3 2 1 3 2 3 2 4 4 3 3 4 3 3 3 3 4 4 26 18 33 37 27 31 36 2 63 "18 - 29" "18 - 24" "some additional training" 1.56820172406699 1.555457482708 0.000605486197538149 7.8408414794892
"29" 87 "MALES" 25 "SINGLE" "NO" "COMPLETED UNDERGRADUATE" "WORK" "NO" 0 3 3 4 2 4 3 2 3 1 1 3 2 2 3 1 1 2 2 2 2 2 2 1 3 1 1 1 2 2 2 4 1 1 5 6 5 5 4 1 2 3 4 3 2 5 3 2 1 4 4 1 4 1 3 1 4 2 1 0 1 1 0 1 0 0 1 0 0 2 3 3 3 4 5 3 2 4 3 3 3 3 4 2 2 4 5 3 4 3 3 4 4 3 3 2 3 1 3 4 4 4 3 4 4 3 3 3 4 4 21 23 21 15 25 20 38 4 64 "18 - 29" "25 - 32" "completed undergrad uni" 1.17609125905568 0.116546642244687 0.00138315162545453 7.70569875219597
"30" 434 "FEMALES" 47 "MARRIED FIRST TIME" "YES" "COMPLETED HIGHSCHOOL" "MONEY/FINANCES" "NO" 0 2 5 2 5 4 4 4 2 3 4 3 3 2 2 4 1 1 1 3 1 2 1 2 4 1 2 1 1 1 1 1 3 3 1 1 1 1 1 3 4 4 3 2 3 4 4 4 3 2 2 2 2 2 1 3 2 4 3 1 1 1 1 1 1 1 1 1 0 2 3 3 3 3 NA 4 1 1 2 2 4 3 3 4 4 1 3 1 1 2 1 2 1 2 3 3 4 2 2 3 3 2 1 2 4 3 2 4 2 2 12 14 14 22 5 32 20 9 NA "45+" "41 - 49" "completed high school" 1.34242268082221 NA NA 7.5942976045542
"31" 264 "MALES" 18 "SINGLE" "NO" "COMPLETED HIGHSCHOOL" "LIFE IN GENERAL" "NO" 0 4 1 5 1 5 1 1 2 1 1 2 3 1 1 5 4 5 1 5 5 5 1 5 5 1 2 4 1 1 1 5 1 1 7 7 5 7 1 5 4 2 4 3 1 5 3 1 4 4 4 2 3 1 2 4 2 4 2 1 1 1 0 1 1 1 0 0 0 1 1 1 5 2 1 4 1 5 5 5 5 5 5 1 1 1 5 5 5 5 4 4 4 2 4 2 3 1 3 3 4 1 1 3 5 5 2 1 5 5 29 22 27 32 27 26 27 6 64 "18 - 29" "18 - 24" "completed high school" 1.50514997831991 0.0896729290422536 7.05050681663962e-09 7.53967788424217
"32" 442 "FEMALES" 24 "MARRIED FIRST TIME" "NO" "SOME ADDITIONAL TRAINING" "WORK" "YES" 150 2 5 3 5 1 5 3 2 3 3 2 4 4 3 5 4 1 1 1 2 5 1 3 3 1 2 2 2 1 3 2 4 4 2 2 3 1 3 4 4 5 2 2 3 3 2 5 5 3 3 2 3 3 2 4 2 4 2 1 1 1 1 0 0 1 1 1 0 5 5 2 1 1 1 5 1 1 2 5 1 1 1 5 5 1 2 1 1 1 2 2 2 1 1 4 4 3 4 3 2 1 1 3 1 1 1 1 1 1 9 12 18 32 11 41 23 7 21 "18 - 29" "18 - 24" "some additional training" 1.50514997831991 11.6788882946133 0.000854785111348873 7.43598041639229
"33" 540 "MALES" 36 "MARRIED FIRST TIME" "YES" "SOME ADDITIONAL TRAINING" "MONEY/FINANCES" "NO" 0 3 1 3 1 4 4 2 4 3 1 3 3 2 4 2 1 1 1 3 4 1 3 2 2 1 3 1 1 1 3 4 1 1 5 5 5 7 5 2 1 2 5 4 2 4 5 2 1 4 4 1 3 1 3 3 3 1 1 1 1 1 0 0 0 1 1 0 0 1 4 5 2 5 3 4 4 5 4 1 3 4 3 3 3 3 4 5 5 2 3 2 4 2 3 1 2 2 1 4 4 2 4 4 5 2 2 5 3 3 22 21 27 13 27 16 35 5 65 "30 - 44" "33 - 40" "some additional training" 1.11394335230684 0.333857295168029 0.0062683568162087 7.28873619104262
"34" 470 "FEMALES" 49 "REMARRIED" "YES" "SOME SECONDARY" "FAMILY" "NO" 0 4 1 4 1 5 2 2 4 1 2 4 1 1 3 3 1 4 1 3 2 1 3 1 2 2 2 1 2 1 2 1 2 1 5 5 5 5 5 2 2 3 4 4 1 4 4 1 1 3 3 1 3 1 3 2 3 1 1 1 1 1 1 1 0 1 1 0 1 2 2 4 4 4 3 1 4 4 4 2 4 4 4 2 2 4 4 5 5 4 3 4 3 4 4 2 2 2 2 4 4 3 4 4 4 4 5 4 4 4 27 26 24 14 25 18 34 8 72 "45+" "41 - 49" "did not complete high school" 1.14612803567824 1.35119410638925 0.00170047657430261 7.28005654498634
"35" 252 "FEMALES" 21 "STEADY RELATIONSHIP" "NO" "COMPLETED UNDERGRADUATE" "WORK" "NO" 0 4 1 3 1 4 1 1 4 1 1 4 1 3 2 1 1 3 1 3 1 4 2 2 3 1 3 1 3 3 2 2 2 2 6 6 6 6 3 2 2 3 4 4 2 4 4 2 2 4 4 1 4 1 4 1 3 1 1 0 1 1 1 1 0 1 0 0 0 3 2 5 4 4 3 1 2 3 3 4 4 3 4 2 2 3 3 5 5 5 4 4 4 4 2 2 2 2 2 4 4 4 4 4 3 4 5 2 4 4 26 26 22 20 27 21 39 5 63 "18 - 29" "18 - 24" "completed undergrad uni" 1.30102999566398 1.31417610205586 0.000711367848936654 7.16805963545523
