"id" "rsex" "typeschl" "sclotbul" "stfbuljb" "gotostaf" "schlbul" "ubullsch" "oftenbul" "ubulloth" "oftenub"
"22" 22 "Male" "Secondary" "A lot" "Yes" "It depends" NA "Yes" "A little" "No" NA
"23" 23 "Male" "Secondary" "A little" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"24" 24 "Female" "Secondary" "A little" "Yes" "It depends" "No" "No" NA "No" NA
"25" 25 "Female" "Grammar" "A little" "No" NA "No" "Yes" "Not at all" "No" NA
"26" 26 "Female" "Grammar" "A little" "Don't know" NA "Yes" "Yes" "Not at all" "No" NA
"27" 27 "Female" "Grammar" "A little" "No" NA "No" "No" NA "No" NA
"28" 28 "Female" "Grammar" "A little" "Yes" "Would not talk to them" "No" "No" NA "No" NA
"29" 29 "Male" "Secondary" "A lot" "Yes" "It depends" "Yes" "Yes" "Not at all" "No" NA
"30" 30 "Female" "Secondary" "A lot" "Yes" "It depends" "Yes" "Yes" "Not at all" "No" NA
"31" 31 "Male" "Secondary" "A little" "No" NA "No" "No" NA "No" NA
"32" 32 "Female" "Grammar" "Not at all" "Don't know" NA "Yes" "No" NA "No" NA
"33" 33 "Male" "Secondary" "A little" "Yes" "It depends" NA "No" NA "No" NA
"34" 34 "Male" "Grammar" "A little" "Don't know" NA "Yes" "Yes" "Not at all" "Yes" "A little"
"35" 35 "Female" "Secondary" "A little" "Yes" "Would not talk to them" "Don't know" "No" NA "No" NA
"36" 36 "Female" "Grammar" "A little" "Yes" "It depends" "No" "No" NA "No" NA
"37" 37 "Female" "Secondary" "Not at all" "Yes" "It depends" "Yes" "No" NA "No" NA
"38" 38 "Male" NA NA NA NA NA NA NA NA NA
"39" 39 "Female" "Secondary" "A little" "Don't know" NA "No" "No" NA "No" NA
"40" 40 "Male" "Secondary" "A little" "No" NA "No" "No" NA "No" NA
"41" 41 "Male" "Grammar" "A little" "No" NA "Don't know" "No" NA "No" NA
"42" 42 "Female" "Grammar" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"43" 43 "Female" "Secondary" "A lot" "Yes" "It depends" "No" "Yes" "Not at all" "No" NA
"44" 44 "Female" "Grammar" "A little" "Yes" "It depends" "Don't know" "No" NA "No" NA
"45" 45 "Female" "Grammar" "A little" "Yes" "It depends" "Yes" "Yes" "Not at all" "No" NA
"46" 46 "Female" "Grammar" "A little" "No" NA "Yes" "No" NA "No" NA
"47" 47 "Female" "Grammar" "A little" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"48" 48 "Male" "Grammar" "A little" "Yes" "It depends" "Yes" "Yes" "Not at all" "No" NA
"49" 49 "Male" "Grammar" "A little" "Yes" "Would not talk to them" "No" "Yes" "Not at all" "No" NA
"50" 50 "Female" "Grammar" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"51" 51 "Female" "Grammar" "Not at all" "Yes" "It depends" "Yes" "No" NA "No" NA
"52" 52 "Female" "Grammar" "A little" "No" NA "No" "No" NA "No" NA
"53" 53 "Female" "Grammar" "A little" "Don't know" NA "No" "Yes" "A little" "No" NA
"54" 54 "Male" "Secondary" "Don't know" "Yes" "Don't know" "Don't know" "No" NA "No" NA
"55" 55 "Female" "Grammar" "A lot" "Don't know" NA "Don't know" "No" NA "No" NA
"56" 56 "Female" "Grammar" "A little" "Yes" "Would not talk to them" "Don't know" "No" NA "No" NA
"57" 57 "Female" "Grammar" "A little" "Don't know" NA "Yes" "Yes" "Not at all" "No" NA
"58" 58 "Male" "Planned Integrated" "Not at all" "Yes" "It depends" "Yes" "No" NA "No" NA
"59" 59 "Female" "Grammar" "A little" "Don't know" NA "No" "No" NA "No" NA
"60" 60 "Female" "Grammar" "Don't know" "Yes" "It depends" "No" "No" NA "No" NA
"61" 61 "Female" "Secondary" "A lot" "Yes" "It depends" "Yes" "Yes" "A little" "No" NA
"62" 62 "Male" "Grammar" "A little" "No" NA "No" "No" NA "No" NA
"63" 63 "Female" "Grammar" "A little" "Yes" "Would not talk to them" "Yes" "No" NA "No" NA
"64" 64 "Female" "Secondary" "A lot" "Yes" "Would not talk to them" "No" "No" NA "No" NA
"65" 65 "Male" "Secondary" "A lot" "No" NA "No" "No" NA "No" NA
"66" 66 "Female" "Grammar" "Don't know" "Don't know" NA "Yes" "No" NA "No" NA
"67" 67 "Female" "Grammar" "Don't know" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"68" 68 "Female" "Secondary" "A little" "Don't know" NA "No" "Yes" "Not at all" "No" NA
"69" 69 "Female" "Grammar" "Don't know" "Don't know" NA "Don't know" "No" NA "No" NA
"70" 70 "Female" "Secondary" "A little" "Don't know" NA "No" "Yes" "A little" "No" NA
"71" 71 "Female" "Secondary" "A lot" "Yes" "It depends" "Yes" "Yes" "A little" "Yes" "A little"
"72" 72 "Female" "Secondary" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"73" 73 "Female" "Grammar" "A lot" "Yes" "It depends" "Yes" "Yes" "A little" "No" NA
"74" 74 "Female" "Grammar" "A little" "Yes" "It depends" "No" "Yes" "Not at all" "No" NA
"75" 75 "Female" "Grammar" "A little" "Yes" "It depends" "No" "No" NA "No" NA
"76" 76 "Female" "Secondary" "A little" NA NA NA "No" NA "No" NA
"77" 77 "Female" "Grammar" "Not at all" "No" NA "Yes" "No" NA "No" NA
"78" 78 "Female" "Secondary" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"79" 79 "Female" "Grammar" "A lot" "Yes" "It depends" "Yes" "Yes" "A lot" "No" NA
"80" 80 "Male" "Grammar" "A little" "Yes" "It depends" "Yes" "Yes" "A little" "Yes" "A little"
"81" 81 "Male" "Secondary" "A little" "Yes" "It depends" NA "No" NA "No" NA
"82" 82 "Female" "Secondary" "A little" "Yes" "It depends" "No" "No" NA "No" NA
"83" 83 "Female" "Secondary" "A lot" "No" NA "No" "Yes" "A little" "No" NA
"84" 84 "Female" "Grammar" "A little" "Don't know" NA "Yes" "No" NA "No" NA
"85" 85 "Male" "Grammar" "Not at all" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"86" 86 "Female" "Secondary" "A little" "Don't know" NA "No" "Yes" "Not at all" "Yes" "Not at all "
"87" 87 "Female" "Grammar" "A little" "No" NA "No" "Yes" "Not at all" "Yes" "Not at all "
"88" 88 "Female" "Grammar" "A little" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"89" 89 "Male" "Secondary" "A little" "Yes" "It depends" "Don't know" "No" NA "No" NA
"90" 90 "Female" "Grammar" "A little" "Don't know" NA "Don't know" "Yes" "Not at all" "No" NA
"91" 91 "Female" "Grammar" "Don't know" "Don't know" NA "Yes" "No" NA "No" NA
"92" 92 "Male" "Planned Integrated" "Don't know" "Yes" "It depends" "Yes" "No" NA "No" NA
"93" 93 "Male" "Secondary" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"94" 94 "Female" "Secondary" "A little" "Yes" "It depends" NA "Yes" "A little" "No" NA
"95" 95 "Male" "Grammar" "A little" "Yes" "Would talk to them" "Yes" "Yes" "Not at all" "No" NA
"96" 96 "Male" "Secondary" "A little" "Yes" "It depends" "No" "No" NA "No" NA
"97" 97 "Female" "Secondary" "A little" "Don't know" NA "No" "No" NA "No" NA
"98" 98 "Female" "Secondary" "A lot" "Yes" "It depends" "Don't know" "Yes" "Not at all" "No" NA
"99" NA "Female" "Secondary" "A little" "Yes" "Would not talk to them" "Yes" "No" NA "No" NA
"100" 100 "Male" "Grammar" "A lot" "Yes" "It depends" "No" "Yes" "A little" "No" NA
"101" 101 "Male" "Grammar" NA NA NA NA NA NA NA NA
"102" 102 "Female" "Secondary" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"103" 103 "Male" "Grammar" "Don't know" "Yes" "Would not talk to them" "Don't know" "No" NA "No" NA
"104" 104 "Female" "Grammar" "A little" "No" NA "No" "Yes" "Not at all" "No" NA
"105" 105 "Male" "Grammar" "A little" "Yes" "It depends" "No" "No" NA "No" NA
"106" 106 "Female" "Grammar" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"107" 107 "Female" "Grammar" "A little" "Don't know" NA "Yes" "No" NA "No" NA
"108" 108 "Female" "Secondary" "A little" "Yes" "It depends" "Don't know" "No" NA "No" NA
"109" 109 "Female" "Secondary" "A little" "No" NA "No" "No" NA "No" NA
"110" 110 "Female" "Grammar" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"111" 111 "Female" "Grammar" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"112" 112 "Female" "Secondary" "Don't know" "Yes" "It depends" "Yes" "No" NA "No" NA
"113" 113 "Female" "Planned Integrated" "A lot" "Yes" "Would not talk to them" "No" "No" NA "No" NA
"114" 114 "Female" "Grammar" "A little" "Yes" "It depends" "Yes" "Yes" "Not at all" "No" NA
"115" 115 "Female" "Secondary" "A little" "Don't know" NA "Yes" "No" NA "No" NA
"116" 116 "Male" "Grammar" "A little" "Yes" "It depends" "Yes" "Yes" "Not at all" "Yes" "Not at all "
"117" 117 "Male" "Grammar" "Don't know" "Yes" "It depends" "Yes" "No" NA "No" NA
"118" 118 "Female" "Secondary" "A little" "Yes" "Would talk to them" "No" "Yes" "Not at all" "No" NA
"119" 119 "Female" "Grammar" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"120" 120 "Male" "Grammar" "A little" "Yes" "Would not talk to them" "Yes" "Yes" "A little" "No" NA
"121" 121 "Male" NA NA NA NA NA NA NA NA NA
"122" 122 "Male" "Grammar" "A little" "Yes" "Would not talk to them" "Yes" "No" NA "No" NA
"123" 123 "Female" "Grammar" "A little" "Don't know" NA "Don't know" "No" NA "No" NA
"124" 124 "Male" "Grammar" "A little" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"125" 125 "Male" "Grammar" "A lot" "Don't know" NA "Yes" "Yes" "Not at all" "No" NA
"126" 126 "Male" "Grammar" "A little" "Don't know" NA "Yes" "Yes" "A little" "No" NA
"127" 127 "Male" "Grammar" "A little" "Yes" "It depends" "Don't know" "No" NA "No" NA
"128" 128 "Male" "Secondary" "Don't know" "Don't know" NA "Don't know" "No" NA "No" NA
"129" 129 "Female" "Grammar" "A little" "No" NA "No" "No" NA "No" NA
"130" 130 "Male" "Secondary" "A little" "Yes" "It depends" "Yes" "Yes" "Not at all" "Yes" "A little"
"131" 131 "Male" "Planned Integrated" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"132" 132 "Female" "Grammar" "A little" "Yes" "Would not talk to them" "Yes" "No" NA "No" NA
"133" 133 "Female" "Grammar" "A little" "No" NA "No" "No" NA "No" NA
"134" 134 "Male" "Secondary" "A little" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"135" 135 "Male" "Planned Integrated" "A little" "Yes" "Would not talk to them" "Yes" "No" NA "No" NA
"136" 136 "Male" "Secondary" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"137" 137 "Female" "Grammar" "A little" "No" NA "No" "Yes" "A lot" "No" NA
"138" 138 "Female" "Secondary" "A little" "Yes" "Would not talk to them" "Yes" "Yes" "A little" "No" NA
"139" 139 "Female" "Secondary" "A lot" "No" NA "Don't know" "No" NA "No" NA
"140" 140 "Male" "Secondary" "A little" "Yes" "It depends" "Yes" "Yes" "A little" "No" NA
"141" 141 "Male" "Secondary" "A little" "No" NA "Yes" "No" NA "No" NA
"142" 142 "Male" "Grammar" "A lot" "Don't know" NA "No" "Yes" "A little" "No" NA
"143" 143 "Female" "Secondary" "A little" "Don't know" NA "Don't know" "No" NA "No" NA
"144" 144 "Female" "Grammar" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"145" 145 "Male" "Secondary" "A little" "Yes" "Would not talk to them" "Yes" "No" NA "No" NA
"146" 146 "Male" "Secondary" "A lot" "Yes" "Would talk to them" "Yes" "Yes" "Not at all" "No" NA
"147" 147 "Female" "Grammar" "A little" "Yes" "It depends" "Yes" "No" NA "Yes" "Not at all "
"148" 148 "Male" "Grammar" "A little" "Yes" "It depends" "Don't know" "Yes" "Not at all" "No" NA
"149" 149 "Female" "Grammar" "A little" "No" NA "Don't know" "No" NA "No" NA
"150" 150 "Male" "Grammar" "A little" "Yes" "It depends" "Yes" "No" NA "Yes" "Not at all "
"151" 151 "Female" "Secondary" "A little" "Don't know" NA "No" "Yes" "Not at all" "No" NA
"152" 152 "Female" "Grammar" "A little" "No" NA "No" "No" NA "No" NA
"153" 153 "Male" "Grammar" "Don't know" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"154" 154 "Female" "Secondary" "A little" "Yes" "It depends" "Yes" "Yes" "Not at all" "No" NA
"155" 155 "Female" "Grammar" "A little" "No" NA "No" "No" NA NA NA
"156" 156 "Female" "Grammar" "Don't know" "Yes" "It depends" "Don't know" "No" NA "No" NA
"157" 157 "Female" "Grammar" "A little" "Don't know" NA "No" "Yes" "Not at all" "No" NA
"158" 158 "Female" "Secondary" "A little" "Yes" "Would not talk to them" "No" "Yes" "Not at all" "No" NA
"159" 159 "Male" "Secondary" "A little" "No" NA "No" "No" NA "No" NA
"160" 160 "Female" "Secondary" "A little" "No" NA "No" "No" NA "No" NA
"161" 161 "Male" "Grammar" "A little" "Don't know" NA "No" "No" NA "No" NA
"162" 162 "Male" "Grammar" "Don't know" "Don't know" NA "Don't know" "No" NA "No" NA
"163" 163 "Female" "Secondary" "A little" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"164" 164 "Female" "Grammar" "A little" "Yes" "Would not talk to them" "No" "No" NA "No" NA
"165" 165 "Male" "Grammar" "Don't know" "Yes" "It depends" "No" "No" NA "No" NA
"166" 166 "Female" "Grammar" "A little" "Don't know" NA "Yes" "Yes" "Not at all" "No" NA
"167" 167 "Male" "Secondary" "Don't know" "Yes" "It depends" "Yes" "No" NA "No" NA
"168" 168 "Female" "Grammar" "Not at all" "Yes" "It depends" "Yes" "No" NA "Yes" "Not at all "
"169" 169 "Female" "Grammar" "Not at all" "Don't know" NA "Don't know" "No" NA "No" NA
"170" 170 "Male" "Planned Integrated" "A little" "No" NA "Yes" "No" NA "No" NA
"171" 171 "Male" "Secondary" "A little" "Don't know" NA "Yes" "No" NA "No" NA
"172" 172 "Male" "Secondary" "A little" "No" NA "No" "No" NA "Yes" "A little"
"173" 173 "Female" "Secondary" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"174" 174 "Male" "Grammar" "A little" "Don't know" NA "No" "No" NA "No" NA
"175" 175 "Female" "Grammar" "A little" "Yes" "It depends" "Yes" "Yes" "Not at all" "No" NA
"176" 176 "Male" "Grammar" "Not at all" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"177" 177 "Female" "Secondary" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"178" 178 "Female" "Grammar" "Not at all" "Yes" "It depends" "Yes" "No" NA "No" NA
"179" 179 "Male" "Grammar" "A little" "Yes" "It depends" "Yes" "Yes" "Not at all" "No" NA
"180" 180 "Female" "Secondary" "Not at all" "Yes" "It depends" "No" "No" NA "No" NA
"181" 181 "Male" "Secondary" "A little" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"182" 182 "Female" "Grammar" "A little" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"183" 183 "Female" "Grammar" "A little" "Yes" "It depends" NA "No" NA "No" NA
"184" 184 "Male" "Grammar" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"185" 185 "Male" "Secondary" "Not at all" "Yes" "It depends" "Yes" "No" NA "No" NA
"186" 186 "Female" "Secondary" "A little" "No" NA "No" "Yes" "Not at all" "No" NA
"187" 187 "Male" "Secondary" "Not at all" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"188" 188 "Female" "Other" "A little" "Yes" "Would not talk to them" "No" "No" NA "No" NA
"189" 189 "Male" "Secondary" "A little" "Yes" "It depends" "Don't know" "No" NA "No" NA
"190" 190 "Female" "Grammar" "A little" "Yes" "Would not talk to them" "Yes" "Yes" "Not at all" "No" NA
"191" 191 "Female" "Secondary" "Not at all" "No" NA "Yes" "No" NA "No" NA
"192" 192 "Female" "Secondary" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"193" 193 "Male" "Secondary" "A little" "Yes" "Would not talk to them" "No" "No" NA "Yes" "A little"
"194" 194 "Male" "Planned Integrated" "Don't know" "Don't know" NA "Yes" "No" NA "No" NA
"195" 195 "Male" "Secondary" "A little" "Don't know" NA NA "Yes" "A little" "Yes" "Not at all "
"196" 196 "Male" "Planned Integrated" "Don't know" "Yes" "It depends" "Yes" "No" NA "No" NA
"197" 197 "Male" "Grammar" "A little" "No" NA "Don't know" "No" NA "No" NA
"198" 198 "Female" "Secondary" "A little" NA NA NA "No" NA "No" NA
"199" 199 "Female" "Secondary" "A little" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"200" 200 "Female" "Secondary" "A little" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"201" 201 "Female" "Secondary" "A little" "Don't know" NA "Don't know" "No" NA "No" NA
"202" 202 "Female" "Grammar" "A little" "Don't know" NA "Yes" "No" NA "No" NA
"203" 203 "Male" "Grammar" "A little" "Yes" "It depends" "Yes" "Yes" "Not at all" "Yes" "Not at all "
"204" 204 "Male" "Other" "A little" "Yes" "It depends" "No" "No" NA "No" NA
"205" 205 "Female" "Secondary" "Don't know" "Don't know" NA "Yes" "Yes" "Not at all" "No" NA
"206" 206 "Female" "Secondary" "A lot" "Yes" "It depends" "Yes" "Yes" "A little" "No" NA
"207" 207 "Male" "Grammar" "Not at all" "Yes" "It depends" "Yes" "No" NA "No" NA
"208" 208 "Female" "Grammar" "A little" "No" NA "No" "No" NA "No" NA
"209" 209 "Female" "Grammar" "A lot" "Yes" "Would not talk to them" "Yes" "No" NA "No" NA
"210" 210 "Male" "Secondary" "A little" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"211" 211 "Female" "Secondary" "Don't know" "Yes" "It depends" "Don't know" "No" NA "No" NA
"212" 212 "Female" "Secondary" "Don't know" "Yes" "Would not talk to them" "Yes" "No" NA "No" NA
"213" 213 "Female" "Grammar" "A little" "Yes" "Would not talk to them" "No" "No" NA "No" NA
"214" 214 "Male" "Grammar" "A little" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"215" 215 "Female" "Secondary" "A little" "Don't know" NA "No" "No" NA "No" NA
"216" 216 "Male" "Secondary" "Don't know" "Don't know" NA "Don't know" "Yes" "A little" "No" NA
"217" 217 "Male" "Secondary" "A little" "Don't know" NA "Yes" "No" NA "No" NA
"218" 218 "Male" "Secondary" "A lot" "Yes" "Would not talk to them" "No" "Yes" "A little" "No" NA
"219" 219 "Female" "Planned Integrated" "Not at all" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"220" 220 "Male" "Secondary" "A little" "No" NA "No" "No" NA "No" NA
"221" 221 "Female" "Secondary" "A little" "Yes" "Would not talk to them" "Don't know" "No" NA "No" NA
"222" 222 "Female" "Secondary" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"223" 223 "Female" "Grammar" "A little" "Yes" "Would talk to them" "No" "No" NA "No" NA
"224" 224 "Male" "Grammar" "A little" "No" NA "Don't know" "No" NA "No" NA
"225" 225 "Male" "Grammar" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"226" 226 "Male" "Planned Integrated" "A little" "Don't know" NA "Don't know" "No" NA "No" NA
"227" 227 "Female" "Grammar" "Not at all" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"228" 228 "Female" "Secondary" "A little" "Yes" "It depends" "Don't know" "No" NA "No" NA
"229" 229 "Female" "Secondary" "Don't know" "No" NA "Yes" "No" NA "No" NA
"230" 230 "Female" "Secondary" "A little" "Yes" "It depends" "Yes" "Yes" "Not at all" "No" NA
"231" 231 "Female" "Secondary" "A lot" "Yes" "It depends" "Yes" "Yes" "A little" "Yes" "A little"
"232" 232 "Female" "Secondary" "A little" "Yes" "Would not talk to them" "Yes" "Yes" "Not at all" "Yes" "A little"
"233" 233 "Female" "Grammar" "A little" "No" NA "Yes" "No" NA "No" NA
"234" 234 "Female" "Secondary" "A lot" "Yes" "Would not talk to them" "No" "Yes" "A little" "No" NA
"235" 235 "Female" "Secondary" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"236" 236 "Female" "Grammar" "Don't know" "Yes" "It depends" "Yes" "No" NA "No" NA
"237" 237 "Female" "Secondary" "Don't know" "Yes" "Would not talk to them" "Yes" "No" NA "No" NA
"238" 238 "Female" "Planned Integrated" "A little" "Yes" "It depends" "Yes" "Yes" "A little" "No" NA
"239" 239 "Female" "Grammar" "A little" "Don't know" NA "Yes" "No" NA "No" NA
"240" 240 "Female" "Grammar" "A little" "Yes" "It depends" "Yes" "Yes" "Not at all" "No" NA
"241" 241 "Female" "Secondary" "A little" "No" NA "No" "No" NA "No" NA
"242" 242 "Female" "Grammar" "Not at all" "Don't know" NA "Yes" "No" NA "No" NA
"243" 243 "Male" "Grammar" "Not at all" "No" NA "Yes" "No" NA "No" NA
"244" 244 "Female" "Secondary" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"245" 245 "Female" "Secondary" "A little" "Yes" "It depends" "No" "No" NA "No" NA
"246" 246 "Male" "Other" "Not at all" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"247" 247 "Female" "Secondary" "A lot" "No" NA "No" "No" NA "Yes" "Not at all "
"248" 248 "Female" "Secondary" "A lot" "Yes" "It depends" "Yes" "No" NA "No" NA
"249" 249 "Female" "Secondary" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"250" 250 "Female" "Secondary" "A little" "No" NA "No" "No" NA "No" NA
"251" 251 "Male" "Secondary" "A little" "No" NA "No" "Yes" "A little" "No" NA
"252" 252 "Female" "Secondary" "A little" "No" NA "Yes" "No" NA "No" NA
"253" 253 "Female" "Secondary" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"254" 254 "Female" "Grammar" "Don't know" "Don't know" NA "No" "No" NA "No" NA
"255" 255 "Female" "Secondary" "Not at all" "Yes" "Would talk to them" "Yes" "No" NA "No" NA
"256" 256 "Female" "Grammar" "A little" "Yes" "It depends" "Don't know" "No" NA "No" NA
"257" 257 "Male" NA "A little" "Don't know" NA "Yes" "No" NA "No" NA
"258" 258 "Male" "Secondary" "A little" "Yes" "Would talk to them" "Yes" "Yes" "Not at all" "No" NA
"259" 259 "Male" "Secondary" "A lot" "Yes" "It depends" "Yes" "Yes" "Not at all" "No" NA
"260" 260 "Male" "Secondary" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"261" 261 "Female" "Secondary" "Not at all" "Yes" "It depends" "Yes" "No" NA "No" NA
"262" 262 "Male" "Secondary" "Don't know" "Don't know" NA "Yes" "No" NA "No" NA
"263" 263 "Female" "Grammar" "A little" "Yes" "It depends" "No" "Yes" "Not at all" "No" NA
"264" 264 "Female" "Secondary" "A little" "Yes" "Would not talk to them" "No" "No" NA "No" NA
"265" 265 "Female" "Grammar" "A little" "Yes" "Would talk to them" "Yes" "Yes" "Not at all" "No" NA
"266" 266 "Female" "Grammar" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"267" 267 "Female" "Grammar" "A little" "Don't know" NA "No" "Yes" "Not at all" "No" NA
"268" 268 "Male" "Grammar" "A little" "Don't know" NA "Yes" "Yes" "Not at all" "Yes" "Not at all "
"269" 269 "Female" "Grammar" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"270" 270 "Female" "Secondary" "A little" "No" NA "No" "No" NA "No" NA
"271" 271 "Male" "Secondary" "A little" "Yes" "It depends" "Don't know" "No" NA "No" NA
"272" 272 "Female" "Grammar" "A little" "No" NA "Yes" "No" NA "No" NA
"273" 273 "Female" "Secondary" "A little" "Yes" "It depends" "Don't know" "No" NA "No" NA
"274" 274 "Female" "Grammar" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"275" 275 "Female" "Grammar" "A little" "Don't know" NA "Yes" "No" NA "No" NA
"276" 276 "Female" "Grammar" "A little" "No" NA "No" "Yes" "A little" "No" NA
"277" 277 "Female" "Grammar" "A lot" "Yes" "Would not talk to them" "No" "No" NA "No" NA
"278" 278 "Female" "Grammar" "A little" "Yes" "It depends" "No" "No" NA "No" NA
"279" 279 NA "Grammar" "A little" "Yes" "Would not talk to them" "No" "No" NA "No" NA
"280" 280 "Male" "Secondary" "A little" "Don't know" NA "Don't know" "No" NA "No" NA
"281" 281 "Female" "Secondary" "A lot" "No" NA "Yes" "Yes" "A little" "No" NA
"282" 282 "Female" "Grammar" "A little" "Yes" "It depends" "Yes" "No" NA "No" NA
"283" 283 "Female" "Grammar" "A little" "Yes" "Would not talk to them" "No" "Yes" "Not at all" "No" NA
"284" 284 "Female" "Secondary" "A little" "Yes" "It depends" "Yes" "Yes" "Not at all" "No" NA
"285" 285 "Male" "Grammar" "A little" "Yes" "Would not talk to them" "Yes" "No" NA "Yes" "A little"
"286" 286 NA "Secondary" "Not at all" "Yes" "Would not talk to them" "No" "No" NA "No" NA
"287" 287 "Female" "Secondary" "A lot" "Yes" "Would not talk to them" "No" "Yes" "Not at all" "No" NA
"288" 288 "Male" "Secondary" "A little" "Yes" "Would not talk to them" "No" "Yes" "Not at all" "No" NA
"289" 289 "Female" "Secondary" "A little" "Yes" "Would not talk to them" "Don't know" "No" NA "No" NA
"290" 290 "Male" "Grammar" "A little" "Don't know" NA "Don't know" "No" NA "No" NA
"291" 291 "Male" "Secondary" "A little" "No" NA "No" "No" NA "No" NA
"292" 292 "Male" "Planned Integrated" "Not at all" "No" NA "Yes" "No" NA "No" NA
